#k-distance eigenvalue[eV]
1.01033326 -13.59780000
1.04210575 -13.57350000
1.07387825 -13.54410000
1.10565075 -13.51070000
1.13742324 -13.47440000
1.16919574 -13.43620000
1.20096823 -13.39710000
1.23274072 -13.35790000
1.26451321 -13.31950000
1.29628571 -13.28290000
1.32805821 -13.24870000
1.35983070 -13.21800000
1.39160320 -13.19150000
1.42337569 -13.16990000
1.45514819 -13.15390000
1.48692068 -13.14410000
1.51869318 -13.14080000
1.51869318 -13.14080000
1.55073934 -13.14500000
1.58278551 -13.15700000
1.61483167 -13.17530000
1.64687784 -13.19750000
1.67892400 -13.22090000
1.71097017 -13.24290000
1.74301633 -13.26170000
1.77506251 -13.27640000
1.80710867 -13.28700000
1.83915484 -13.29390000
1.87120100 -13.29810000
1.90324717 -13.30020000
1.93529333 -13.30090000
1.96733950 -13.30090000
1.99938566 -13.30060000
2.03143183 -13.30020000
2.06347799 -13.30010000
2.06347799 -13.30010000
2.09769453 -13.30890000
2.13191106 -13.33350000
2.16612759 -13.36970000
2.20034413 -13.41250000
2.23456066 -13.45730000
2.26877720 -13.50000000
2.30299372 -13.53650000
2.33721025 -13.56370000
2.37142679 -13.57870000
2.40564332 -13.58050000
2.43985986 -13.56950000
2.47407639 -13.54720000
2.50829292 -13.51560000
2.50829292 -13.51560000
2.54324089 -13.51150000
2.57818885 -13.49950000
2.61313681 -13.47990000
2.64808477 -13.45340000
2.68303274 -13.42080000
2.71798070 -13.38310000
2.75292865 -13.34170000
2.78787662 -13.29920000
2.82282458 -13.27240000

0.00000000 -13.14080000
0.03310860 -13.14180000
0.06621719 -13.14500000
0.09932579 -13.15010000
0.13243438 -13.15690000
0.16554298 -13.16520000
0.19865158 -13.17460000
0.23176017 -13.18480000
0.26486877 -13.19550000
0.29797736 -13.20630000
0.33108595 -13.21710000
0.36419454 -13.22740000
0.39730314 -13.23700000
0.43041174 -13.24590000
0.46352033 -13.25360000
0.49662893 -13.26020000
0.52973752 -13.26540000
0.56284612 -13.26930000
0.59595472 -13.27160000
0.62906331 -13.27240000
0.62906331 -13.27240000
0.66613123 -13.27010000
0.70319913 -13.26350000
0.74026705 -13.25250000
0.77733496 -13.23720000
0.81440287 -13.21790000
0.85147078 -13.19470000
0.85147078 -13.19470000
0.88324328 -13.17200000
0.91501577 -13.14690000
0.94678827 -13.11960000
0.97856076 -13.09040000
1.01033326 -13.07040000
1.04210575 -13.06460000
1.07387825 -13.06490000
1.10565075 -13.07120000
1.13742324 -13.08220000
1.16919574 -13.09590000
1.20096823 -13.11040000
1.23274072 -13.12400000
1.26451321 -13.13560000
1.29628571 -13.14420000
1.32805821 -13.14940000
1.35983070 -13.15130000
1.39160320 -13.15030000
1.42337569 -13.14760000
1.45514819 -13.14430000
1.48692068 -13.14170000
1.51869318 -13.14080000
1.51869318 -13.14080000
1.55073934 -13.14000000
1.58278551 -13.13790000
1.61483167 -13.13420000
1.64687784 -13.12920000
1.67892400 -13.12270000
1.71097017 -13.11490000
1.74301633 -13.10570000
1.77506251 -13.09520000
1.80710867 -13.08360000
1.83915484 -13.07080000
1.87120100 -13.05710000
1.90324717 -13.04260000
1.93529333 -13.02780000
1.96733950 -13.01320000
1.99938566 -12.99990000
2.03143183 -12.98980000
2.06347799 -12.98590000
2.06347799 -12.98590000
2.09769453 -12.99330000
2.13191106 -13.01410000
2.16612759 -13.04550000
2.20034413 -13.08460000
2.23456066 -13.12940000
2.26877720 -13.17800000
2.30299372 -13.22900000
2.33721025 -13.28120000
2.37142679 -13.33330000
2.40564332 -13.38410000
2.43985986 -13.43240000
2.47407639 -13.47670000
2.50829292 -13.51560000
2.50829292 -13.51560000
2.54324089 -13.51150000
2.57818885 -13.49950000
2.61313681 -13.47990000
2.64808477 -13.45340000
2.68303274 -13.42080000
2.71798070 -13.38310000
2.75292865 -13.34170000
2.78787662 -13.29920000
2.82282458 -13.27240000

0.00000000 -13.14080000
0.03310860 -13.14160000
0.06621719 -13.14410000
0.09932579 -13.14810000
0.13243438 -13.15350000
0.16554298 -13.16000000
0.19865158 -13.16760000
0.23176017 -13.17580000
0.26486877 -13.18430000
0.29797736 -13.19290000
0.33108595 -13.20120000
0.36419454 -13.20890000
0.39730314 -13.21560000
0.43041174 -13.22090000
0.46352033 -13.22470000
0.49662893 -13.22650000
0.52973752 -13.22610000
0.56284612 -13.22310000
0.59595472 -13.21730000
0.62906331 -13.20840000
0.62906331 -13.20840000
0.66613123 -13.20650000
0.70319913 -13.20080000
0.74026705 -13.19150000
0.77733496 -13.17880000
0.81440287 -13.16320000
0.85147078 -13.14540000
0.85147078 -13.14540000
0.88324328 -13.12880000
0.91501577 -13.11200000
0.94678827 -13.09570000
0.97856076 -13.08130000
1.01033326 -13.05950000
1.04210575 -13.02740000
1.07387825 -12.99440000
1.10565075 -12.96070000
1.13742324 -12.93780000
1.16919574 -12.96710000
1.20096823 -12.99490000
1.23274072 -13.02090000
1.26451321 -13.04490000
1.29628571 -13.06660000
1.32805821 -13.08570000
1.35983070 -13.10230000
1.39160320 -13.11600000
1.42337569 -13.12670000
1.45514819 -13.13450000
1.48692068 -13.13920000
1.51869318 -13.14080000
1.51869318 -13.14080000
1.55073934 -13.14000000
1.58278551 -13.13790000
1.61483167 -13.13420000
1.64687784 -13.12920000
1.67892400 -13.12270000
1.71097017 -13.11490000
1.74301633 -13.10570000
1.77506251 -13.09520000
1.80710867 -13.08360000
1.83915484 -13.07080000
1.87120100 -13.05710000
1.90324717 -13.04260000
1.93529333 -13.02780000
1.96733950 -13.01320000
1.99938566 -12.99990000
2.03143183 -12.98980000
2.06347799 -12.98590000
2.06347799 -12.98590000
2.09769453 -12.98620000
2.13191106 -12.98570000
2.16612759 -12.98230000
2.20034413 -12.97550000
2.23456066 -12.96550000
2.26877720 -12.95270000
2.30299372 -12.93760000
2.33721025 -12.92060000
2.37142679 -12.90210000
2.40564332 -12.88270000
2.43985986 -12.86310000
2.47407639 -12.84390000
2.50829292 -12.82650000
2.50829292 -12.82650000
2.54324089 -12.84390000
2.57818885 -12.88160000
2.61313681 -12.92700000
2.64808477 -12.97610000
2.68303274 -13.02730000
2.71798070 -13.07930000
2.75292865 -13.13100000
2.78787662 -13.17950000
2.82282458 -13.20840000

0.00000000 -12.67160000
0.03310860 -12.67540000
0.06621719 -12.68690000
0.09932579 -12.70560000
0.13243438 -12.73100000
0.16554298 -12.76210000
0.19865158 -12.79790000
0.23176017 -12.83730000
0.26486877 -12.87900000
0.29797736 -12.92160000
0.33108595 -12.96390000
0.36419454 -13.00460000
0.39730314 -13.04300000
0.43041174 -13.07810000
0.46352033 -13.10960000
0.49662893 -13.13720000
0.52973752 -13.16070000
0.56284612 -13.18030000
0.59595472 -13.19620000
0.62906331 -13.20840000
0.62906331 -13.20840000
0.66613123 -13.15790000
0.70319913 -13.08660000
0.74026705 -13.01640000
0.77733496 -12.95030000
0.81440287 -12.88950000
0.85147078 -12.83510000
0.85147078 -12.83510000
0.88324328 -12.79380000
0.91501577 -12.75760000
0.94678827 -12.74970000
0.97856076 -12.78060000
1.01033326 -12.81220000
1.04210575 -12.84410000
1.07387825 -12.87600000
1.10565075 -12.90730000
1.13742324 -12.92700000
1.16919574 -12.89350000
1.20096823 -12.86080000
1.23274072 -12.82930000
1.26451321 -12.79950000
1.29628571 -12.77180000
1.32805821 -12.74670000
1.35983070 -12.72470000
1.39160320 -12.70600000
1.42337569 -12.69120000
1.45514819 -12.68030000
1.48692068 -12.67380000
1.51869318 -12.67160000
1.51869318 -12.67160000
1.55073934 -12.67280000
1.58278551 -12.67650000
1.61483167 -12.68250000
1.64687784 -12.69090000
1.67892400 -12.70140000
1.71097017 -12.71390000
1.74301633 -12.72820000
1.77506251 -12.74400000
1.80710867 -12.76110000
1.83915484 -12.77910000
1.87120100 -12.79790000
1.90324717 -12.81690000
1.93529333 -12.83570000
1.96733950 -12.85350000
1.99938566 -12.86920000
2.03143183 -12.88070000
2.06347799 -12.88510000
2.06347799 -12.88510000
2.09769453 -12.88350000
2.13191106 -12.87920000
2.16612759 -12.87280000
2.20034413 -12.86470000
2.23456066 -12.85510000
2.26877720 -12.84430000
2.30299372 -12.83290000
2.33721025 -12.82150000
2.37142679 -12.81140000
2.40564332 -12.80470000
2.43985986 -12.80460000
2.47407639 -12.81250000
2.50829292 -12.82650000
2.50829292 -12.82650000
2.54324089 -12.84390000
2.57818885 -12.88160000
2.61313681 -12.92700000
2.64808477 -12.97610000
2.68303274 -13.02730000
2.71798070 -13.07930000
2.75292865 -13.13100000
2.78787662 -13.17950000
2.82282458 -13.20840000

0.00000000 -12.67160000
0.03310860 -12.67070000
0.06621719 -12.66830000
0.09932579 -12.66430000
0.13243438 -12.65900000
0.16554298 -12.65260000
0.19865158 -12.64540000
0.23176017 -12.63760000
0.26486877 -12.62940000
0.29797736 -12.62120000
0.33108595 -12.61320000
0.36419454 -12.60540000
0.39730314 -12.59820000
0.43041174 -12.59170000
0.46352033 -12.58590000
0.49662893 -12.58100000
0.52973752 -12.57710000
0.56284612 -12.57430000
0.59595472 -12.57260000
0.62906331 -12.57200000
0.62906331 -12.57200000
0.66613123 -12.57490000
0.70319913 -12.58360000
0.74026705 -12.59760000
0.77733496 -12.61650000
0.81440287 -12.63940000
0.85147078 -12.66600000
0.85147078 -12.66600000
0.88324328 -12.69200000
0.91501577 -12.72000000
0.94678827 -12.73700000
0.97856076 -12.75810000
1.01033326 -12.77520000
1.04210575 -12.78640000
1.07387825 -12.79060000
1.10565075 -12.78780000
1.13742324 -12.77930000
1.16919574 -12.76690000
1.20096823 -12.75250000
1.23274072 -12.73750000
1.26451321 -12.72310000
1.29628571 -12.71000000
1.32805821 -12.69870000
1.35983070 -12.68960000
1.39160320 -12.68250000
1.42337569 -12.67740000
1.45514819 -12.67400000
1.48692068 -12.67220000
1.51869318 -12.67160000
1.51869318 -12.67160000
1.55073934 -12.67280000
1.58278551 -12.67650000
1.61483167 -12.68250000
1.64687784 -12.69090000
1.67892400 -12.70140000
1.71097017 -12.71390000
1.74301633 -12.72820000
1.77506251 -12.74400000
1.80710867 -12.76110000
1.83915484 -12.77910000
1.87120100 -12.79790000
1.90324717 -12.81690000
1.93529333 -12.83570000
1.96733950 -12.85350000
1.99938566 -12.86920000
2.03143183 -12.88070000
2.06347799 -12.88510000
2.06347799 -12.88510000
2.09769453 -12.87780000
2.13191106 -12.85900000
2.16612759 -12.83440000
2.20034413 -12.80840000
2.23456066 -12.78410000
2.26877720 -12.76290000
2.30299372 -12.74590000
2.33721025 -12.73350000
2.37142679 -12.72560000
2.40564332 -12.73210000
2.43985986 -12.73550000
2.47407639 -12.73400000
2.50829292 -12.72960000
2.50829292 -12.72960000
2.54324089 -12.71550000
2.57818885 -12.68810000
2.61313681 -12.65970000
2.64808477 -12.63400000
2.68303274 -12.61210000
2.71798070 -12.59480000
2.75292865 -12.58220000
2.78787662 -12.57460000
2.82282458 -12.57200000

0.00000000 -12.67160000
0.03310860 -12.67070000
0.06621719 -12.66830000
0.09932579 -12.66430000
0.13243438 -12.65900000
0.16554298 -12.65260000
0.19865158 -12.64540000
0.23176017 -12.63760000
0.26486877 -12.62940000
0.29797736 -12.62120000
0.33108595 -12.61320000
0.36419454 -12.60540000
0.39730314 -12.59820000
0.43041174 -12.59170000
0.46352033 -12.58590000
0.49662893 -12.58100000
0.52973752 -12.57710000
0.56284612 -12.57430000
0.59595472 -12.57260000
0.62906331 -12.57200000
0.62906331 -12.57200000
0.66613123 -12.57480000
0.70319913 -12.58320000
0.74026705 -12.59690000
0.77733496 -12.61560000
0.81440287 -12.63880000
0.85147078 -12.66550000
0.85147078 -12.66550000
0.88324328 -12.68940000
0.91501577 -12.71360000
0.94678827 -12.72670000
0.97856076 -12.70080000
1.01033326 -12.67980000
1.04210575 -12.66340000
1.07387825 -12.65110000
1.10565075 -12.64270000
1.13742324 -12.63750000
1.16919574 -12.63520000
1.20096823 -12.63530000
1.23274072 -12.63730000
1.26451321 -12.64070000
1.29628571 -12.64520000
1.32805821 -12.65030000
1.35983070 -12.65550000
1.39160320 -12.66060000
1.42337569 -12.66510000
1.45514819 -12.66860000
1.48692068 -12.67080000
1.51869318 -12.67160000
1.51869318 -12.67160000
1.55073934 -12.67120000
1.58278551 -12.67020000
1.61483167 -12.66910000
1.64687784 -12.66850000
1.67892400 -12.66910000
1.71097017 -12.67100000
1.74301633 -12.67440000
1.77506251 -12.67940000
1.80710867 -12.68550000
1.83915484 -12.69260000
1.87120100 -12.70010000
1.90324717 -12.70750000
1.93529333 -12.71440000
1.96733950 -12.72040000
1.99938566 -12.72490000
2.03143183 -12.72780000
2.06347799 -12.72880000
2.06347799 -12.72880000
2.09769453 -12.72690000
2.13191106 -12.72200000
2.16612759 -12.71610000
2.20034413 -12.71120000
2.23456066 -12.70860000
2.26877720 -12.70880000
2.30299372 -12.71200000
2.33721025 -12.71780000
2.37142679 -12.72520000
2.40564332 -12.72190000
2.43985986 -12.72200000
2.47407639 -12.72490000
2.50829292 -12.72960000
2.50829292 -12.72960000
2.54324089 -12.71550000
2.57818885 -12.68810000
2.61313681 -12.65970000
2.64808477 -12.63400000
2.68303274 -12.61210000
2.71798070 -12.59480000
2.75292865 -12.58220000
2.78787662 -12.57460000
2.82282458 -12.57200000

0.00000000 -7.64740000
0.03310860 -7.65350000
0.06621719 -7.66570000
0.09932579 -7.68130000
0.13243438 -7.69920000
0.16554298 -7.71850000
0.19865158 -7.73840000
0.23176017 -7.75800000
0.26486877 -7.77690000
0.29797736 -7.79440000
0.33108595 -7.81020000
0.36419454 -7.82420000
0.39730314 -7.83610000
0.43041174 -7.84600000
0.46352033 -7.85390000
0.49662893 -7.86000000
0.52973752 -7.86410000
0.56284612 -7.86660000
0.59595472 -7.86730000
0.62906331 -7.86640000
0.62906331 -7.86640000
0.66613123 -7.86800000
0.70319913 -7.87240000
0.74026705 -7.87790000
0.77733496 -7.88330000
0.81440287 -7.88790000
0.85147078 -7.89120000
0.85147078 -7.89120000
0.88324328 -7.89290000
0.91501577 -7.89330000
0.94678827 -7.89250000
0.97856076 -7.89020000
1.01033326 -7.88650000
1.04210575 -7.88110000
1.07387825 -7.87400000
1.10565075 -7.86500000
1.13742324 -7.85420000
1.16919574 -7.84110000
1.20096823 -7.82590000
1.23274072 -7.80840000
1.26451321 -7.78840000
1.29628571 -7.76630000
1.32805821 -7.74210000
1.35983070 -7.71620000
1.39160320 -7.69010000
1.42337569 -7.66600000
1.45514819 -7.65850000
1.48692068 -7.65150000
1.51869318 -7.64740000
1.51869318 -7.64740000
1.55073934 -7.65030000
1.58278551 -7.65560000
1.61483167 -7.66870000
1.64687784 -7.69530000
1.67892400 -7.72270000
1.71097017 -7.74880000
1.74301633 -7.77260000
1.77506251 -7.79350000
1.80710867 -7.81150000
1.83915484 -7.82680000
1.87120100 -7.83910000
1.90324717 -7.84910000
1.93529333 -7.85670000
1.96733950 -7.86230000
1.99938566 -7.86600000
2.03143183 -7.86820000
2.06347799 -7.86910000
2.06347799 -7.86910000
2.09769453 -7.86960000
2.13191106 -7.87100000
2.16612759 -7.87350000
2.20034413 -7.87650000
2.23456066 -7.87980000
2.26877720 -7.88290000
2.30299372 -7.88570000
2.33721025 -7.88760000
2.37142679 -7.88860000
2.40564332 -7.88840000
2.43985986 -7.88700000
2.47407639 -7.88450000
2.50829292 -7.88080000
2.50829292 -7.88080000
2.54324089 -7.88040000
2.57818885 -7.87940000
2.61313681 -7.87780000
2.64808477 -7.87580000
2.68303274 -7.87330000
2.71798070 -7.87080000
2.75292865 -7.86860000
2.78787662 -7.86700000
2.82282458 -7.86640000

0.00000000 -7.64740000
0.03310860 -7.64720000
0.06621719 -7.64620000
0.09932579 -7.65560000
0.13243438 -7.67600000
0.16554298 -7.69740000
0.19865158 -7.71880000
0.23176017 -7.73930000
0.26486877 -7.75820000
0.29797736 -7.77570000
0.33108595 -7.79170000
0.36419454 -7.80610000
0.39730314 -7.81880000
0.43041174 -7.82990000
0.46352033 -7.83960000
0.49662893 -7.84790000
0.52973752 -7.85470000
0.56284612 -7.86010000
0.59595472 -7.86400000
0.62906331 -7.86640000
0.62906331 -7.86640000
0.66613123 -7.86600000
0.70319913 -7.86470000
0.74026705 -7.86280000
0.77733496 -7.86000000
0.81440287 -7.85640000
0.85147078 -7.85210000
0.85147078 -7.85210000
0.88324328 -7.84770000
0.91501577 -7.84270000
0.94678827 -7.83740000
0.97856076 -7.83130000
1.01033326 -7.82460000
1.04210575 -7.81710000
1.07387825 -7.80890000
1.10565075 -7.79960000
1.13742324 -7.78940000
1.16919574 -7.77810000
1.20096823 -7.76560000
1.23274072 -7.75200000
1.26451321 -7.73740000
1.29628571 -7.72210000
1.32805821 -7.70650000
1.35983070 -7.69110000
1.39160320 -7.67680000
1.42337569 -7.66480000
1.45514819 -7.65490000
1.48692068 -7.64920000
1.51869318 -7.64740000
1.51869318 -7.64740000
1.55073934 -7.65030000
1.58278551 -7.65560000
1.61483167 -7.66130000
1.64687784 -7.66700000
1.67892400 -7.68090000
1.71097017 -7.69610000
1.74301633 -7.71160000
1.77506251 -7.72680000
1.80710867 -7.74150000
1.83915484 -7.75470000
1.87120100 -7.76690000
1.90324717 -7.77770000
1.93529333 -7.78650000
1.96733950 -7.79370000
1.99938566 -7.79900000
2.03143183 -7.80220000
2.06347799 -7.80340000
2.06347799 -7.80340000
2.09769453 -7.80440000
2.13191106 -7.80730000
2.16612759 -7.81200000
2.20034413 -7.81820000
2.23456066 -7.82520000
2.26877720 -7.83290000
2.30299372 -7.84080000
2.33721025 -7.84870000
2.37142679 -7.85630000
