#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120  76
# Band-Index    1
   2.03453    -14.438927  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   2.05661    -14.435249  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   2.07869    -14.430825  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   2.10077    -14.425672  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   2.12286    -14.419839  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   2.14494    -14.413427  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   2.16702    -14.406426  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   2.18910    -14.398934  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   2.21118    -14.391051  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   2.23326    -14.382872  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   2.25534    -14.374495  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   2.27742    -14.366034  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   2.29950    -14.357630  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   2.32158    -14.349410  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   2.34366    -14.341515  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   2.36574    -14.334076  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   2.36574    -14.334076  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   2.38136    -14.333990  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   2.39697    -14.333759  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   2.41258    -14.333332  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
