     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -13.18959     0.05052     0.00635     0.00290     0.00635     0.04064     0.05563     0.00279     0.05563     0.04064     0.26144
   -13.18559     0.05052     0.00639     0.00289     0.00639     0.04081     0.05572     0.00275     0.05572     0.04081     0.26201
   -13.18159     0.05052     0.00643     0.00289     0.00643     0.04100     0.05581     0.00271     0.05581     0.04100     0.26260
   -13.17759     0.05053     0.00648     0.00289     0.00648     0.04117     0.05589     0.00267     0.05589     0.04117     0.26316
   -13.17359     0.05053     0.00652     0.00289     0.00652     0.04134     0.05598     0.00263     0.05598     0.04134     0.26372
   -13.16959     0.05053     0.00657     0.00288     0.00657     0.04152     0.05606     0.00260     0.05606     0.04152     0.26430
   -13.16559     0.05025     0.00677     0.00285     0.00677     0.04221     0.05625     0.00239     0.05625     0.04221     0.26596
   -13.16159     0.05017     0.00686     0.00284     0.00686     0.04256     0.05640     0.00231     0.05640     0.04256     0.26696
   -13.15759     0.05008     0.00695     0.00283     0.00695     0.04290     0.05654     0.00223     0.05654     0.04290     0.26792
   -13.15359     0.04999     0.00704     0.00281     0.00704     0.04324     0.05669     0.00215     0.05669     0.04324     0.26889
   -13.14959     0.04991     0.00714     0.00280     0.00714     0.04358     0.05683     0.00207     0.05683     0.04358     0.26987
   -13.14559     0.04987     0.00721     0.00280     0.00721     0.04384     0.05699     0.00202     0.05699     0.04384     0.27078
   -13.14159     0.04983     0.00728     0.00279     0.00728     0.04411     0.05717     0.00198     0.05717     0.04411     0.27172
   -13.13759     0.04979     0.00735     0.00278     0.00735     0.04438     0.05734     0.00195     0.05734     0.04438     0.27265
   -13.13359     0.04975     0.00742     0.00278     0.00742     0.04464     0.05750     0.00191     0.05750     0.04464     0.27355
   -13.12959     0.04971     0.00749     0.00277     0.00749     0.04491     0.05767     0.00187     0.05767     0.04491     0.27449
   -13.12559     0.04967     0.00756     0.00277     0.00756     0.04518     0.05785     0.00183     0.05785     0.04518     0.27543
   -13.12159     0.04963     0.00763     0.00276     0.00763     0.04545     0.05802     0.00179     0.05802     0.04545     0.27638
   -13.11759     0.04959     0.00770     0.00276     0.00770     0.04570     0.05820     0.00175     0.05820     0.04570     0.27730
   -13.11359     0.04954     0.00777     0.00275     0.00777     0.04597     0.05838     0.00171     0.05838     0.04597     0.27824
   -13.10959     0.04951     0.00783     0.00274     0.00783     0.04622     0.05856     0.00169     0.05856     0.04622     0.27917
   -13.10559     0.04949     0.00790     0.00274     0.00790     0.04648     0.05874     0.00166     0.05874     0.04648     0.28013
   -13.10159     0.04946     0.00796     0.00274     0.00796     0.04672     0.05893     0.00164     0.05893     0.04672     0.28107
   -13.09759     0.04944     0.00803     0.00273     0.00803     0.04697     0.05912     0.00161     0.05912     0.04697     0.28203
   -13.09359     0.04941     0.00809     0.00273     0.00809     0.04721     0.05931     0.00159     0.05931     0.04721     0.28296
   -13.08959     0.04938     0.00816     0.00272     0.00816     0.04747     0.05950     0.00156     0.05950     0.04747     0.28392
   -13.08559     0.04935     0.00822     0.00272     0.00822     0.04771     0.05969     0.00154     0.05969     0.04771     0.28485
   -13.08159     0.04932     0.00829     0.00272     0.00829     0.04796     0.05988     0.00152     0.05988     0.04796     0.28581
   -13.07759     0.04929     0.00835     0.00271     0.00835     0.04820     0.06007     0.00149     0.06007     0.04820     0.28675
   -13.07359     0.04926     0.00842     0.00271     0.00842     0.04845     0.06026     0.00147     0.06026     0.04845     0.28770
   -13.06959     0.04921     0.00848     0.00270     0.00848     0.04870     0.06045     0.00144     0.06045     0.04870     0.28863
   -13.06559     0.04918     0.00855     0.00270     0.00855     0.04895     0.06064     0.00142     0.06064     0.04895     0.28958
   -13.06159     0.04915     0.00862     0.00269     0.00862     0.04919     0.06083     0.00140     0.06083     0.04919     0.29052
   -13.05759     0.04912     0.00868     0.00269     0.00868     0.04944     0.06103     0.00138     0.06103     0.04944     0.29149
   -13.05359     0.04910     0.00874     0.00269     0.00874     0.04969     0.06124     0.00136     0.06124     0.04969     0.29249
   -13.04959     0.04908     0.00881     0.00269     0.00881     0.04993     0.06144     0.00134     0.06144     0.04993     0.29348
   -13.04559     0.04905     0.00887     0.00268     0.00887     0.05018     0.06165     0.00133     0.06165     0.05018     0.29446
   -13.04159     0.04903     0.00894     0.00268     0.00894     0.05042     0.06186     0.00131     0.06186     0.05042     0.29546
   -13.03759     0.04901     0.00900     0.00268     0.00900     0.05066     0.06207     0.00129     0.06207     0.05066     0.29645
   -13.03359     0.04898     0.00906     0.00267     0.00906     0.05092     0.06228     0.00128     0.06228     0.05092     0.29745
   -13.02959     0.04896     0.00913     0.00267     0.00913     0.05116     0.06247     0.00126     0.06247     0.05116     0.29842
   -13.02559     0.04891     0.00922     0.00267     0.00922     0.05151     0.06277     0.00124     0.06277     0.05151     0.29982
   -13.02159     0.04875     0.00945     0.00265     0.00945     0.05241     0.06350     0.00117     0.06350     0.05241     0.30330
   -13.01759     0.04862     0.00966     0.00263     0.00966     0.05320     0.06413     0.00112     0.06413     0.05320     0.30635
   -13.01359     0.04855     0.00978     0.00263     0.00978     0.05368     0.06454     0.00110     0.06454     0.05368     0.30828
   -13.00959     0.04848     0.00991     0.00262     0.00991     0.05417     0.06495     0.00107     0.06495     0.05417     0.31022
   -13.00559     0.04840     0.01004     0.00261     0.01004     0.05465     0.06537     0.00104     0.06537     0.05465     0.31216
   -13.00159     0.04833     0.01016     0.00260     0.01016     0.05514     0.06578     0.00101     0.06578     0.05514     0.31410
   -12.99759     0.04825     0.01029     0.00259     0.01029     0.05563     0.06619     0.00099     0.06619     0.05563     0.31604
   -12.99359     0.04819     0.01040     0.00259     0.01040     0.05606     0.06657     0.00097     0.06657     0.05606     0.31781
   -12.98959     0.04814     0.01051     0.00258     0.01051     0.05648     0.06695     0.00095     0.06695     0.05648     0.31954
   -12.98559     0.04810     0.01062     0.00258     0.01062     0.05690     0.06732     0.00093     0.06732     0.05690     0.32130
   -12.98159     0.04805     0.01073     0.00258     0.01073     0.05733     0.06771     0.00092     0.06771     0.05733     0.32307
   -12.97759     0.04801     0.01084     0.00257     0.01084     0.05775     0.06809     0.00090     0.06809     0.05775     0.32483
   -12.97359     0.04796     0.01095     0.00257     0.01095     0.05817     0.06846     0.00089     0.06846     0.05817     0.32658
   -12.96959     0.04791     0.01106     0.00256     0.01106     0.05860     0.06885     0.00087     0.06885     0.05860     0.32835
   -12.96559     0.04786     0.01117     0.00256     0.01117     0.05902     0.06923     0.00085     0.06923     0.05902     0.33010
   -12.96159     0.04780     0.01128     0.00255     0.01128     0.05944     0.06961     0.00084     0.06961     0.05944     0.33186
   -12.95759     0.04776     0.01138     0.00255     0.01138     0.05987     0.07000     0.00083     0.07000     0.05987     0.33363
