  #K-Path    Energy        Zn        Al         S
# NKPTS & NBANDS: 120  52
# Band-Index    1
    2.553  -13.3463     0.012     0.044     0.544
    2.536  -13.3456     0.012     0.045     0.543
    2.520  -13.3452     0.011     0.045     0.543
    2.503  -13.3450     0.011     0.044     0.544
    2.503  -13.3450     0.011     0.044     0.544
    2.480  -13.3171     0.012     0.045     0.542
    2.456  -13.2905     0.012     0.044     0.546
    2.433  -13.2660     0.012     0.043     0.548
    2.410  -13.2442     0.012     0.044     0.550
    2.386  -13.2256     0.014     0.043     0.554
    2.363  -13.2106     0.014     0.040     0.552
    2.340  -13.1995     0.016     0.039     0.552
    2.316  -13.1920     0.016     0.039     0.552
    2.293  -13.1878     0.018     0.037     0.556
    2.269  -13.1863     0.018     0.037     0.554
    2.246  -13.1867     0.020     0.035     0.554
    2.223  -13.1886     0.020     0.035     0.554
    2.199  -13.1913     0.022     0.035     0.552
    2.176  -13.1943     0.022     0.035     0.554
    2.153  -13.1972     0.022     0.033     0.552
    2.129  -13.1998     0.022     0.033     0.552
    2.106  -13.2018     0.024     0.033     0.550
    2.083  -13.2031     0.024     0.033     0.554
    2.059  -13.2035     0.024     0.033     0.556
    2.059  -13.2035     0.024     0.033     0.556
    2.031  -13.1952     0.024     0.032     0.550
    2.002  -13.1717     0.022     0.035     0.554
    1.973  -13.1363     0.022     0.033     0.558
    1.945  -13.0929     0.022     0.035     0.562
    1.916  -13.0444     0.020     0.034     0.562
    1.888  -12.9933     0.020     0.033     0.570
    1.859  -12.9416     0.020     0.031     0.570
    1.830  -12.8909     0.020     0.030     0.576
    1.802  -12.8427     0.020     0.029     0.584
    1.773  -12.7985     0.020     0.028     0.582
    1.744  -12.7593     0.020     0.027     0.590
    1.716  -12.7260     0.020     0.025     0.592
    1.687  -12.6989     0.022     0.024     0.598
    1.659  -12.6777     0.022     0.023     0.600
    1.630  -12.6619     0.022     0.022     0.602
    1.601  -12.6506     0.024     0.021     0.602
    1.573  -12.6431     0.024     0.021     0.602
    1.544  -12.6389     0.024     0.020     0.604
    1.516  -12.6375     0.024     0.020     0.600
    1.516  -12.6375     0.024     0.020     0.600
    1.480  -12.6396     0.024     0.020     0.600
    1.445  -12.6459     0.024     0.022     0.600
    1.410  -12.6572     0.022     0.022     0.600
    1.375  -12.6739     0.022     0.024     0.596
    1.340  -12.6967     0.022     0.026     0.596
    1.305  -12.7257     0.020     0.028     0.592
    1.270  -12.7603     0.020     0.028     0.592
    1.235  -12.7999     0.018     0.030     0.588
    1.200  -12.8433     0.018     0.032     0.580
    1.165  -12.8893     0.018     0.034     0.580
    1.130  -12.9369     0.016     0.034     0.572
    1.095  -12.9848     0.016     0.036     0.568
    1.060  -13.0323     0.016     0.038     0.564
    1.025  -13.0785     0.014     0.040     0.564
    0.990  -13.1227     0.014     0.040     0.556
    0.955  -13.1644     0.014     0.042     0.556
    0.920  -13.2030     0.014     0.040     0.552
    0.885  -13.2382     0.014     0.042     0.548
    0.850  -13.2696     0.014     0.042     0.548
    0.850  -13.2696     0.014     0.042     0.548
    0.838  -13.2791     0.014     0.042     0.548
