  #K-Path    Energy        Zn        Al         S
# NKPTS & NBANDS: 120  52
# Band-Index    1
    0.733  -11.7379     0.026     0.006     0.668
    0.721  -11.7337     0.026     0.006     0.668
    0.710  -11.7301     0.026     0.006     0.668
    0.698  -11.7268     0.026     0.006     0.672
    0.686  -11.7241     0.026     0.006     0.672
    0.674  -11.7219     0.026     0.006     0.672
    0.663  -11.7201     0.026     0.006     0.672
    0.651  -11.7189     0.026     0.006     0.672
    0.639  -11.7181     0.026     0.006     0.672
    0.628  -11.7178     0.026     0.006     0.672
    0.628  -11.7178     0.026     0.006     0.672
    0.595  -11.7184     0.026     0.006     0.672
    0.562  -11.7200     0.026     0.006     0.672
    0.529  -11.7226     0.026     0.006     0.672
    0.496  -11.7261     0.026     0.006     0.668
    0.463  -11.7306     0.026     0.006     0.668
    0.430  -11.7359     0.026     0.008     0.668
    0.396  -11.7419     0.026     0.008     0.668
    0.363  -11.7486     0.026     0.008     0.666
    0.330  -11.7557     0.026     0.008     0.664
    0.297  -11.7631     0.026     0.008     0.664
    0.264  -11.7706     0.026     0.010     0.664
    0.231  -11.7780     0.026     0.010     0.660
    0.198  -11.7851     0.024     0.010     0.660
    0.165  -11.7918     0.024     0.010     0.660
    0.132  -11.7976     0.024     0.012     0.656
    0.099  -11.8024     0.024     0.012     0.656
    0.066  -11.8061     0.024     0.012     0.656
    0.033  -11.8083     0.024     0.012     0.656
    0.000  -11.8091     0.024     0.012     0.654
 
# Band-Index    9
    0.000   -6.8283     0.164     0.052     0.280
    0.033   -6.8258     0.168     0.052     0.280
    0.066   -6.8184     0.186     0.052     0.272
    0.099   -6.8070     0.212     0.052     0.264
    0.132   -6.7926     0.252     0.048     0.256
    0.165   -6.7766     0.300     0.044     0.240
    0.198   -6.7604     0.356     0.040     0.224
    0.231   -6.7451     0.416     0.036     0.208
    0.264   -6.7315     0.474     0.036     0.192
    0.297   -6.7201     0.528     0.032     0.176
    0.330   -6.7107     0.575     0.028     0.160
    0.363   -6.7033     0.616     0.024     0.144
    0.396   -6.6976     0.649     0.024     0.136
    0.430   -6.6934     0.676     0.020     0.128
    0.463   -6.6901     0.698     0.020     0.120
    0.496   -6.6877     0.715     0.020     0.112
    0.529   -6.6859     0.729     0.016     0.104
    0.562   -6.6845     0.739     0.016     0.104
    0.595   -6.6831     0.748     0.016     0.100
    0.628   -6.6817     0.752     0.016     0.098
    0.628   -6.6817     0.752     0.016     0.098
    0.639   -6.6818     0.753     0.016     0.096
    0.651   -6.6822     0.753     0.016     0.100
    0.663   -6.6829     0.753     0.016     0.096
    0.674   -6.6838     0.753     0.016     0.096
    0.686   -6.6848     0.753     0.016     0.096
    0.698   -6.6861     0.754     0.018     0.096
    0.710   -6.6874     0.754     0.018     0.096
    0.721   -6.6888     0.754     0.016     0.096
    0.733   -6.6903     0.754     0.016     0.096
    0.745   -6.6919     0.755     0.016     0.096
    0.756   -6.6934     0.755     0.016     0.096
    0.768   -6.6949     0.755     0.016     0.096
    0.780   -6.6964     0.755     0.016     0.096
    0.791   -6.6978     0.755     0.016     0.096
    0.803   -6.6992     0.755     0.016     0.096
    0.815   -6.7006     0.755     0.016     0.096
    0.826   -6.7019     0.755     0.016     0.096
    0.838   -6.7031     0.754     0.016     0.096
    0.850   -6.7042     0.754     0.016     0.096
    0.850   -6.7042     0.754     0.016     0.096
    0.885   -6.7074     0.752     0.018     0.100
    0.920   -6.7099     0.748     0.018     0.100
    0.955   -6.7120     0.742     0.018     0.100
    0.990   -6.7138     0.734     0.018     0.104
    1.025   -6.7153     0.723     0.020     0.106
    1.060   -6.7167     0.708     0.020     0.112
    1.095   -6.7182     0.688     0.020     0.120
    1.130   -6.7203     0.662     0.022     0.128
    1.165   -6.7234     0.628     0.024     0.136
    1.200   -6.7282     0.584     0.028     0.152
    1.235   -6.7352     0.528     0.032     0.172
    1.270   -6.7451     0.462     0.034     0.192
    1.305   -6.7580     0.392     0.038     0.212
    1.340   -6.7732     0.324     0.044     0.236
    1.375   -6.7894     0.266     0.046     0.252
    1.410   -6.8048     0.220     0.050     0.264
    1.445   -6.8173     0.188     0.052     0.272
    1.480   -6.8255     0.170     0.052     0.280
    1.516   -6.8283     0.164     0.052     0.280
    1.516   -6.8283     0.164     0.052     0.280
    1.544   -6.8264     0.168     0.052     0.280
    1.573   -6.8209     0.180     0.052     0.280
    1.601   -6.8121     0.200     0.051     0.272
    1.630   -6.8010     0.232     0.048     0.264
    1.659   -6.7883     0.270     0.047     0.250
    1.687   -6.7752     0.318     0.042     0.236
    1.716   -6.7627     0.372     0.041     0.220
    1.744   -6.7514     0.430     0.036     0.200
    1.773   -6.7418     0.484     0.032     0.184
    1.802   -6.7339     0.534     0.031     0.170
    1.830   -6.7274     0.577     0.027     0.156
    1.859   -6.7221     0.613     0.027     0.142
    1.888   -6.7177     0.642     0.023     0.134
    1.916   -6.7140     0.666     0.023     0.126
    1.945   -6.7109     0.686     0.022     0.120
    1.973   -6.7083     0.700     0.019     0.118
    2.002   -6.7063     0.710     0.019     0.112
    2.031   -6.7050     0.717     0.019     0.112
    2.059   -6.7046     0.719     0.019     0.112
    2.059   -6.7046     0.719     0.019     0.112
    2.083   -6.7047     0.720     0.019     0.112
    2.106   -6.7049     0.720     0.019     0.112
    2.129   -6.7054     0.722     0.019     0.110
    2.153   -6.7059     0.723     0.020     0.108
    2.176   -6.7065     0.725     0.020     0.108
    2.199   -6.7071     0.728     0.018     0.108
    2.223   -6.7076     0.730     0.018     0.104
    2.246   -6.7080     0.733     0.018     0.104
    2.269   -6.7082     0.736     0.018     0.104
    2.293   -6.7081     0.739     0.018     0.102
    2.316   -6.7077     0.742     0.019     0.100
    2.340   -6.7071     0.745     0.017     0.100
    2.363   -6.7061     0.747     0.017     0.098
    2.386   -6.7047     0.749     0.017     0.098
    2.410   -6.7030     0.751     0.017     0.098
    2.433   -6.7010     0.753     0.017     0.096
    2.456   -6.6987     0.754     0.016     0.096
    2.480   -6.6961     0.755     0.016     0.096
    2.503   -6.6933     0.755     0.017     0.096
    2.503   -6.6933     0.755     0.017     0.096
    2.520   -6.6932     0.755     0.017     0.096
    2.536   -6.6930     0.756     0.017     0.096
    2.553   -6.6927     0.755     0.017     0.098
    2.569   -6.6924     0.756     0.017     0.098
    2.586   -6.6918     0.755     0.017     0.096
    2.602   -6.6912     0.755     0.017     0.096
    2.619   -6.6905     0.754     0.017     0.096
    2.635   -6.6897     0.755     0.017     0.096
    2.652   -6.6888     0.754     0.017     0.096
    2.668   -6.6879     0.754     0.017     0.096
    2.685   -6.6869     0.754     0.017     0.097
    2.701   -6.6859     0.754     0.017     0.097
    2.718   -6.6850     0.754     0.017     0.098
    2.734   -6.6841     0.753     0.017     0.097
    2.751   -6.6833     0.753     0.017     0.098
    2.767   -6.6826     0.753     0.016     0.098
    2.784   -6.6821     0.753     0.016     0.098
    2.800   -6.6818     0.753     0.016     0.098
    2.817   -6.6817     0.752     0.016     0.098
 
# Band-Index   10
    2.817   -6.6817     0.752     0.016     0.098
    2.800   -6.6818     0.753     0.016     0.098
    2.784   -6.6821     0.753     0.016     0.098
    2.767   -6.6826     0.753     0.016     0.098
    2.751   -6.6833     0.753     0.017     0.098
    2.734   -6.6841     0.753     0.017     0.097
    2.718   -6.6849     0.754     0.017     0.098
    2.701   -6.6859     0.754     0.017     0.097
    2.685   -6.6869     0.754     0.017     0.097
    2.668   -6.6878     0.754     0.017     0.096
    2.652   -6.6888     0.754     0.017     0.096
    2.635   -6.6897     0.755     0.017     0.096
    2.619   -6.6905     0.754     0.017     0.096
    2.602   -6.6912     0.755     0.017     0.096
    2.586   -6.6918     0.755     0.017     0.096
    2.569   -6.6923     0.756     0.017     0.098
    2.553   -6.6927     0.755     0.017     0.098
    2.536   -6.6930     0.756     0.017     0.096
    2.520   -6.6932     0.755     0.017     0.096
    2.503   -6.6932     0.755     0.017     0.096
    2.503   -6.6932     0.755     0.017     0.096
    2.480   -6.6902     0.755     0.016     0.096
    2.456   -6.6870     0.755     0.016     0.096
    2.433   -6.6836     0.753     0.016     0.097
    2.410   -6.6801     0.753     0.016     0.098
    2.386   -6.6766     0.751     0.016     0.096
    2.363   -6.6730     0.749     0.016     0.096
    2.340   -6.6694     0.746     0.016     0.096
    2.316   -6.6659     0.743     0.016     0.098
    2.293   -6.6624     0.740     0.016     0.098
    2.269   -6.6590     0.736     0.016     0.102
    2.246   -6.6556     0.732     0.017     0.102
    2.223   -6.6524     0.728     0.018     0.102
    2.199   -6.6493     0.724     0.018     0.104
    2.176   -6.6464     0.720     0.018     0.104
    2.153   -6.6438     0.717     0.016     0.108
    2.129   -6.6414     0.714     0.017     0.108
    2.106   -6.6396     0.712     0.017     0.108
    2.083   -6.6384     0.710     0.015     0.108
    2.059   -6.6380     0.710     0.015     0.108
    2.059   -6.6380     0.710     0.015     0.108
    2.031   -6.6372     0.710     0.015     0.108
    2.002   -6.6346     0.712     0.015     0.108
    1.973   -6.6304     0.712     0.015     0.110
    1.945   -6.6248     0.712     0.015     0.110
    1.916   -6.6179     0.712     0.015     0.110
    1.888   -6.6097     0.710     0.018     0.110
    1.859   -6.6002     0.708     0.018     0.112
    1.830   -6.5893     0.706     0.018     0.112
    1.802   -6.5771     0.701     0.019     0.112
    1.773   -6.5634     0.696     0.019     0.112
    1.744   -6.5481     0.690     0.021     0.112
    1.716   -6.5315     0.682     0.023     0.112
    1.687   -6.5138     0.672     0.026     0.118
    1.659   -6.4959     0.656     0.031     0.116
    1.630   -6.4785     0.638     0.037     0.116
    1.601   -6.4615     0.618     0.043     0.118
    1.573   -6.4452     0.600     0.050     0.122
    1.544   -6.4319     0.606     0.051     0.114
    1.516   -6.4250     0.576     0.059     0.120
    1.516   -6.4250     0.576     0.059     0.120
    1.480   -6.4367     0.620     0.046     0.112
    1.445   -6.4584     0.626     0.043     0.112
    1.410   -6.4818     0.646     0.038     0.112
    1.375   -6.5050     0.664     0.032     0.112
    1.340   -6.5274     0.680     0.026     0.112
    1.305   -6.5485     0.690     0.022     0.112
    1.270   -6.5677     0.700     0.022     0.108
    1.235   -6.5847     0.707     0.020     0.104
    1.200   -6.5996     0.714     0.020     0.104
    1.165   -6.6124     0.720     0.020     0.104
    1.130   -6.6233     0.724     0.018     0.102
    1.095   -6.6326     0.729     0.018     0.104
    1.060   -6.6407     0.733     0.016     0.104
    1.025   -6.6476     0.736     0.016     0.104
    0.990   -6.6536     0.740     0.016     0.100
    0.955   -6.6589     0.742     0.016     0.100
    0.920   -6.6635     0.745     0.016     0.100
    0.885   -6.6675     0.747     0.016     0.100
    0.850   -6.6711     0.748     0.016     0.100
    0.850   -6.6711     0.748     0.016     0.100
    0.838   -6.6721     0.749     0.016     0.100
    0.826   -6.6731     0.749     0.016     0.098
    0.815   -6.6741     0.749     0.016     0.096
    0.803   -6.6750     0.750     0.016     0.096
    0.791   -6.6758     0.751     0.016     0.096
    0.780   -6.6766     0.751     0.016     0.096
    0.768   -6.6774     0.751     0.016     0.096
    0.756   -6.6781     0.751     0.016     0.096
    0.745   -6.6787     0.751     0.016     0.096
    0.733   -6.6792     0.752     0.016     0.096
    0.721   -6.6798     0.752     0.016     0.096
    0.710   -6.6802     0.752     0.016     0.096
    0.698   -6.6806     0.752     0.016     0.096
    0.686   -6.6809     0.753     0.016     0.096
    0.674   -6.6812     0.752     0.016     0.096
    0.663   -6.6814     0.753     0.016     0.096
    0.651   -6.6816     0.753     0.016     0.100
    0.639   -6.6816     0.753     0.016     0.096
    0.628   -6.6817     0.752     0.016     0.098
    0.628   -6.6817     0.752     0.016     0.098
    0.595   -6.6799     0.756     0.016     0.096
    0.562   -6.6777     0.758     0.016     0.096
    0.529   -6.6748     0.758     0.016     0.096
    0.496   -6.6710     0.757     0.016     0.096
    0.463   -6.6661     0.755     0.016     0.096
    0.430   -6.6598     0.752     0.016     0.096
    0.396   -6.6521     0.747     0.016     0.096
    0.363   -6.6425     0.742     0.016     0.096
    0.330   -6.6310     0.736     0.016     0.096
    0.297   -6.6173     0.728     0.020     0.096
    0.264   -6.6013     0.720     0.020     0.104
    0.231   -6.5830     0.712     0.020     0.104
    0.198   -6.5623     0.702     0.024     0.104
    0.165   -6.5398     0.690     0.028     0.104
    0.132   -6.5157     0.677     0.028     0.104
    0.099   -6.4909     0.662     0.036     0.104
    0.066   -6.4657     0.646     0.040     0.104
    0.033   -6.4412     0.625     0.045     0.112
    0.000   -6.4250     0.576     0.059     0.120
 
# Band-Index   11
    0.000   -6.4250     0.576     0.058     0.122
    0.033   -6.4283     0.574     0.058     0.124
    0.066   -6.4373     0.574     0.058     0.124
    0.099   -6.4503     0.579     0.056     0.120
    0.132   -6.4650     0.592     0.052     0.116
    0.165   -6.4796     0.608     0.050     0.112
    0.198   -6.4932     0.626     0.046     0.112
    0.231   -6.5052     0.644     0.044     0.104
    0.264   -6.5154     0.660     0.042     0.100
    0.297   -6.5239     0.678     0.038     0.096
    0.330   -6.5309     0.692     0.036     0.092
    0.363   -6.5364     0.706     0.034     0.088
    0.396   -6.5407     0.720     0.032     0.084
    0.430   -6.5440     0.730     0.030     0.080
    0.463   -6.5464     0.740     0.030     0.080
    0.496   -6.5482     0.748     0.028     0.076
    0.529   -6.5494     0.754     0.028     0.076
    0.562   -6.5503     0.758     0.026     0.072
    0.595   -6.5507     0.760     0.026     0.072
    0.628   -6.5508     0.762     0.026     0.072
    0.628   -6.5508     0.762     0.026     0.072
    0.639   -6.5508     0.762     0.026     0.072
    0.651   -6.5508     0.762     0.026     0.072
    0.663   -6.5508     0.761     0.026     0.072
    0.674   -6.5507     0.760     0.026     0.072
    0.686   -6.5507     0.760     0.026     0.072
    0.698   -6.5507     0.760     0.026     0.072
    0.710   -6.5506     0.760     0.026     0.072
    0.721   -6.5505     0.760     0.026     0.072
    0.733   -6.5505     0.758     0.026     0.072
    0.745   -6.5504     0.758     0.026     0.072
    0.756   -6.5503     0.758     0.026     0.072
    0.768   -6.5502     0.756     0.026     0.072
    0.780   -6.5501     0.756     0.026     0.072
    0.791   -6.5499     0.754     0.026     0.072
    0.803   -6.5498     0.754     0.028     0.072
    0.815   -6.5496     0.752     0.028     0.072
    0.826   -6.5495     0.751     0.028     0.076
    0.838   -6.5493     0.750     0.028     0.076
    0.850   -6.5491     0.748     0.028     0.076
    0.850   -6.5491     0.748     0.028     0.076
    0.885   -6.5485     0.744     0.028     0.080
    0.920   -6.5477     0.738     0.030     0.080
    0.955   -6.5468     0.732     0.030     0.080
    0.990   -6.5456     0.726     0.030     0.080
    1.025   -6.5441     0.718     0.032     0.084
    1.060   -6.5422     0.710     0.032     0.088
    1.095   -6.5399     0.700     0.034     0.088
    1.130   -6.5369     0.692     0.036     0.088
    1.165   -6.5332     0.682     0.038     0.096
    1.200   -6.5285     0.672     0.040     0.096
    1.235   -6.5227     0.664     0.040     0.096
    1.270   -6.5156     0.655     0.042     0.100
    1.305   -6.5070     0.648     0.042     0.104
    1.340   -6.4966     0.642     0.042     0.104
    1.375   -6.4843     0.636     0.044     0.108
    1.410   -6.4701     0.634     0.044     0.104
    1.445   -6.4540     0.632     0.044     0.104
    1.480   -6.4367     0.604     0.050     0.120
    1.516   -6.4250     0.576     0.058     0.122
    1.516   -6.4250     0.576     0.058     0.122
    1.544   -6.4319     0.606     0.051     0.114
    1.573   -6.4442     0.620     0.048     0.106
    1.601   -6.4570     0.622     0.046     0.108
    1.630   -6.4692     0.624     0.045     0.106
    1.659   -6.4805     0.624     0.045     0.108
    1.687   -6.4907     0.628     0.045     0.108
    1.716   -6.4999     0.630     0.044     0.106
    1.744   -6.5080     0.636     0.043     0.104
    1.773   -6.5151     0.640     0.043     0.106
    1.802   -6.5212     0.646     0.043     0.106
    1.830   -6.5265     0.652     0.042     0.102
    1.859   -6.5309     0.656     0.041     0.100
    1.888   -6.5346     0.662     0.041     0.100
    1.916   -6.5376     0.666     0.040     0.100
    1.945   -6.5400     0.669     0.040     0.098
    1.973   -6.5417     0.672     0.040     0.096
    2.002   -6.5430     0.674     0.040     0.096
    2.031   -6.5438     0.676     0.040     0.096
    2.059   -6.5440     0.676     0.040     0.096
    2.059   -6.5440     0.676     0.040     0.096
    2.083   -6.5441     0.676     0.039     0.092
    2.106   -6.5441     0.678     0.040     0.092
    2.129   -6.5441     0.682     0.039     0.092
    2.153   -6.5438     0.686     0.039     0.092
    2.176   -6.5431     0.692     0.038     0.092
    2.199   -6.5419     0.696     0.037     0.090
    2.223   -6.5399     0.702     0.036     0.086
    2.246   -6.5373     0.708     0.035     0.086
    2.269   -6.5338     0.714     0.034     0.086
    2.293   -6.5295     0.720     0.033     0.084
    2.316   -6.5244     0.726     0.032     0.084
    2.340   -6.5185     0.732     0.031     0.082
    2.363   -6.5119     0.738     0.030     0.082
    2.386   -6.5046     0.744     0.030     0.080
    2.410   -6.4966     0.750     0.029     0.078
    2.433   -6.4881     0.756     0.029     0.078
    2.456   -6.4789     0.762     0.028     0.076
    2.480   -6.4693     0.769     0.025     0.074
    2.503   -6.4593     0.774     0.025     0.072
    2.503   -6.4593     0.774     0.025     0.072
    2.520   -6.4606     0.776     0.025     0.070
    2.536   -6.4642     0.776     0.024     0.072
    2.553   -6.4695     0.777     0.024     0.071
    2.569   -6.4759     0.776     0.024     0.071
    2.586   -6.4828     0.775     0.024     0.071
    2.602   -6.4901     0.774     0.024     0.072
    2.619   -6.4974     0.772     0.025     0.071
    2.635   -6.5046     0.771     0.024     0.072
    2.652   -6.5116     0.769     0.026     0.072
    2.668   -6.5182     0.767     0.024     0.072
    2.685   -6.5245     0.766     0.026     0.073
    2.701   -6.5303     0.765     0.026     0.074
    2.718   -6.5355     0.764     0.026     0.072
    2.734   -6.5400     0.763     0.026     0.073
    2.751   -6.5438     0.763     0.027     0.072
    2.767   -6.5468     0.762     0.027     0.074
    2.784   -6.5490     0.762     0.027     0.072
    2.800   -6.5504     0.762     0.027     0.072
    2.817   -6.5508     0.762     0.026     0.072
 
# Band-Index   12
    2.817   -6.5508     0.762     0.026     0.072
    2.800   -6.5504     0.762     0.027     0.072
    2.784   -6.5490     0.762     0.027     0.072
    2.767   -6.5468     0.763     0.027     0.074
    2.751   -6.5438     0.763     0.027     0.072
    2.734   -6.5400     0.763     0.026     0.073
    2.718   -6.5354     0.764     0.026     0.072
    2.701   -6.5303     0.765     0.026     0.074
    2.685   -6.5245     0.766     0.026     0.073
    2.668   -6.5182     0.767     0.024     0.072
    2.652   -6.5116     0.769     0.026     0.072
    2.635   -6.5046     0.770     0.024     0.072
    2.619   -6.4974     0.772     0.025     0.071
    2.602   -6.4901     0.773     0.024     0.072
    2.586   -6.4828     0.775     0.024     0.071
    2.569   -6.4759     0.776     0.024     0.071
    2.553   -6.4695     0.776     0.024     0.071
    2.536   -6.4642     0.776     0.024     0.072
    2.520   -6.4606     0.776     0.025     0.070
    2.503   -6.4593     0.775     0.025     0.072
    2.503   -6.4593     0.775     0.025     0.072
    2.480   -6.4492     0.781     0.024     0.070
    2.456   -6.4397     0.786     0.022     0.070
    2.433   -6.4329     0.796     0.019     0.066
    2.410   -6.4334     0.812     0.015     0.062
    2.386   -6.4388     0.816     0.012     0.062
    2.363   -6.4460     0.812     0.014     0.062
    2.340   -6.4539     0.804     0.014     0.064
    2.316   -6.4625     0.792     0.016     0.066
    2.293   -6.4715     0.780     0.018     0.072
    2.269   -6.4809     0.766     0.020     0.074
    2.246   -6.4905     0.750     0.024     0.076
    2.223   -6.5003     0.735     0.026     0.080
    2.199   -6.5098     0.720     0.028     0.088
    2.176   -6.5189     0.708     0.032     0.088
    2.153   -6.5272     0.696     0.033     0.092
    2.129   -6.5341     0.687     0.035     0.094
    2.106   -6.5395     0.680     0.037     0.094
    2.083   -6.5429     0.677     0.039     0.096
    2.059   -6.5440     0.676     0.039     0.098
    2.059   -6.5440     0.676     0.039     0.098
    2.031   -6.5438     0.676     0.039     0.098
    2.002   -6.5430     0.674     0.040     0.098
    1.973   -6.5417     0.672     0.040     0.098
    1.945   -6.5400     0.669     0.040     0.098
    1.916   -6.5376     0.666     0.040     0.098
    1.888   -6.5346     0.662     0.041     0.098
    1.859   -6.5309     0.656     0.042     0.102
    1.830   -6.5265     0.652     0.042     0.104
    1.802   -6.5212     0.646     0.043     0.104
    1.773   -6.5151     0.640     0.043     0.104
    1.744   -6.5080     0.636     0.043     0.106
    1.716   -6.4999     0.630     0.045     0.108
    1.687   -6.4907     0.628     0.045     0.108
    1.659   -6.4805     0.624     0.045     0.108
    1.630   -6.4692     0.624     0.046     0.108
    1.601   -6.4570     0.622     0.047     0.108
    1.573   -6.4442     0.620     0.047     0.110
    1.544   -6.4312     0.584     0.054     0.124
    1.516   -6.4250     0.576     0.058     0.122
    1.516   -6.4250     0.576     0.058     0.122
    1.480   -6.4285     0.574     0.058     0.124
    1.445   -6.4366     0.565     0.059     0.124
    1.410   -6.4452     0.550     0.058     0.132
    1.375   -6.4508     0.531     0.060     0.136
    1.340   -6.4515     0.509     0.062     0.140
    1.305   -6.4571     0.721     0.022     0.088
    1.270   -6.4673     0.737     0.022     0.084
    1.235   -6.4734     0.754     0.018     0.080
    1.200   -6.4762     0.771     0.016     0.072
    1.165   -6.4763     0.786     0.016     0.072
    1.130   -6.4739     0.800     0.014     0.064
    1.095   -6.4695     0.812     0.012     0.064
    1.060   -6.4630     0.822     0.010     0.060
    1.025   -6.4548     0.830     0.010     0.060
    0.990   -6.4449     0.838     0.008     0.060
    0.955   -6.4336     0.846     0.008     0.052
    0.920   -6.4210     0.852     0.008     0.052
    0.885   -6.4103     0.837     0.014     0.056
    0.850   -6.4357     0.816     0.016     0.064
    0.850   -6.4357     0.816     0.016     0.064
    0.838   -6.4446     0.810     0.018     0.064
    0.826   -6.4534     0.804     0.018     0.064
    0.815   -6.4622     0.798     0.020     0.068
    0.803   -6.4710     0.793     0.020     0.068
    0.791   -6.4796     0.788     0.022     0.068
    0.780   -6.4879     0.784     0.022     0.068
    0.768   -6.4960     0.780     0.022     0.068
    0.756   -6.5038     0.776     0.024     0.068
    0.745   -6.5112     0.774     0.024     0.068
    0.733   -6.5181     0.772     0.024     0.068
    0.721   -6.5245     0.769     0.026     0.072
    0.710   -6.5303     0.767     0.026     0.072
    0.698   -6.5355     0.766     0.026     0.072
    0.686   -6.5400     0.764     0.026     0.072
    0.674   -6.5439     0.764     0.028     0.072
    0.663   -6.5469     0.762     0.028     0.072
    0.651   -6.5490     0.762     0.026     0.072
    0.639   -6.5504     0.762     0.026     0.072
    0.628   -6.5508     0.762     0.026     0.072
    0.628   -6.5508     0.762     0.026     0.072
    0.595   -6.5507     0.760     0.026     0.072
    0.562   -6.5503     0.758     0.026     0.072
    0.529   -6.5494     0.754     0.028     0.076
    0.496   -6.5482     0.748     0.028     0.076
    0.463   -6.5464     0.740     0.030     0.080
    0.430   -6.5440     0.730     0.030     0.080
    0.396   -6.5407     0.720     0.032     0.084
    0.363   -6.5364     0.706     0.034     0.088
    0.330   -6.5309     0.692     0.036     0.092
    0.297   -6.5239     0.678     0.038     0.096
    0.264   -6.5154     0.660     0.042     0.100
    0.231   -6.5051     0.644     0.044     0.104
    0.198   -6.4932     0.626     0.046     0.112
    0.165   -6.4796     0.608     0.050     0.112
    0.132   -6.4650     0.592     0.052     0.116
    0.099   -6.4503     0.579     0.056     0.120
    0.066   -6.4373     0.574     0.058     0.124
    0.033   -6.4282     0.574     0.058     0.124
    0.000   -6.4250     0.576     0.058     0.122
 
# Band-Index   13
    0.000   -6.4011     0.820     0.008     0.048
    0.033   -6.4004     0.822     0.008     0.048
    0.066   -6.3985     0.823     0.008     0.048
    0.099   -6.3955     0.826     0.004     0.048
    0.132   -6.3920     0.720     0.012     0.088
    0.165   -6.3987     0.702     0.016     0.096
    0.198   -6.4014     0.701     0.016     0.096
    0.231   -6.4003     0.710     0.016     0.088
    0.264   -6.3958     0.726     0.016     0.080
    0.297   -6.3886     0.746     0.016     0.080
    0.330   -6.3793     0.766     0.012     0.072
    0.363   -6.3686     0.786     0.012     0.064
    0.396   -6.3572     0.808     0.012     0.056
    0.430   -6.3454     0.827     0.008     0.048
    0.463   -6.3335     0.845     0.008     0.048
    0.496   -6.3283     0.896     0.002     0.044
    0.529   -6.3263     0.896     0.002     0.044
    0.562   -6.3248     0.896     0.002     0.048
    0.595   -6.3238     0.896     0.002     0.048
    0.628   -6.3235     0.896     0.002     0.048
    0.628   -6.3235     0.896     0.002     0.048
    0.639   -6.3238     0.896     0.002     0.048
    0.651   -6.3249     0.894     0.002     0.048
    0.663   -6.3266     0.894     0.002     0.048
    0.674   -6.3289     0.892     0.002     0.044
    0.686   -6.3316     0.890     0.002     0.044
    0.698   -6.3348     0.888     0.002     0.044
    0.710   -6.3383     0.886     0.002     0.044
    0.721   -6.3421     0.884     0.002     0.048
    0.733   -6.3462     0.882     0.002     0.048
    0.745   -6.3505     0.880     0.002     0.048
    0.756   -6.3549     0.878     0.004     0.048
    0.768   -6.3595     0.876     0.006     0.048
    0.780   -6.3641     0.875     0.006     0.048
    0.791   -6.3689     0.873     0.006     0.048
    0.803   -6.3738     0.871     0.006     0.048
    0.815   -6.3786     0.869     0.006     0.048
    0.826   -6.3835     0.867     0.006     0.052
    0.838   -6.3883     0.866     0.006     0.052
    0.850   -6.3932     0.864     0.006     0.052
    0.850   -6.3932     0.864     0.006     0.052
    0.885   -6.4075     0.857     0.006     0.052
    0.920   -6.3879     0.859     0.008     0.056
    0.955   -6.3706     0.877     0.004     0.048
    0.990   -6.3597     0.883     0.004     0.048
    1.025   -6.3556     0.870     0.006     0.052
    1.060   -6.3575     0.838     0.010     0.056
    1.095   -6.3641     0.788     0.018     0.068
    1.130   -6.3746     0.722     0.028     0.084
    1.165   -6.3883     0.646     0.040     0.108
    1.200   -6.4043     0.572     0.050     0.128
    1.235   -6.4209     0.518     0.056     0.144
    1.270   -6.4356     0.492     0.060     0.148
    1.305   -6.4463     0.493     0.062     0.152
    1.340   -6.4420     0.709     0.020     0.092
    1.375   -6.4211     0.708     0.018     0.096
    1.410   -6.3964     0.744     0.012     0.084
    1.445   -6.3920     0.813     0.008     0.056
    1.480   -6.3968     0.809     0.010     0.056
    1.516   -6.4011     0.820     0.008     0.048
    1.516   -6.4011     0.820     0.008     0.048
    1.544   -6.3944     0.794     0.013     0.056
    1.573   -6.3827     0.791     0.015     0.059
    1.601   -6.3716     0.803     0.014     0.058
    1.630   -6.3859     0.622     0.027     0.124
    1.659   -6.3950     0.566     0.036     0.136
    1.687   -6.3940     0.518     0.043     0.150
    1.716   -6.3826     0.470     0.046     0.164
    1.744   -6.3668     0.876     0.005     0.042
    1.773   -6.3700     0.880     0.005     0.040
    1.802   -6.3730     0.882     0.003     0.040
    1.830   -6.3758     0.884     0.003     0.040
    1.859   -6.3783     0.884     0.003     0.040
    1.888   -6.3805     0.886     0.003     0.040
    1.916   -6.3824     0.886     0.003     0.040
    1.945   -6.3839     0.888     0.003     0.038
    1.973   -6.3851     0.888     0.003     0.038
    2.002   -6.3860     0.888     0.003     0.038
    2.031   -6.3865     0.888     0.003     0.038
    2.059   -6.3866     0.888     0.003     0.038
    2.059   -6.3866     0.888     0.003     0.038
    2.083   -6.3861     0.888     0.003     0.040
    2.106   -6.3847     0.888     0.003     0.042
    2.129   -6.3823     0.888     0.002     0.042
    2.153   -6.3793     0.885     0.004     0.042
    2.176   -6.3762     0.884     0.004     0.042
    2.199   -6.3731     0.882     0.005     0.042
    2.223   -6.3703     0.881     0.005     0.044
    2.246   -6.3682     0.880     0.005     0.044
    2.269   -6.3668     0.879     0.005     0.046
    2.293   -6.3664     0.877     0.005     0.045
    2.316   -6.3717     0.867     0.007     0.048
    2.340   -6.3794     0.856     0.010     0.054
    2.363   -6.3887     0.846     0.011     0.058
