#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  84  96
# Band-Index:    1
   1.90880    -16.577827  0.000  0.000  0.000  0.000  0.002  0.002  0.403  0.002  0.404  0.816
   1.94083    -16.577847  0.000  0.000  0.000  0.000  0.002  0.002  0.403  0.002  0.404  0.816
   1.94083    -16.577847  0.000  0.000  0.000  0.000  0.002  0.002  0.403  0.002  0.404  0.816
   1.97569    -16.576780  0.000  0.000  0.000  0.000  0.002  0.002  0.402  0.002  0.404  0.818
   2.01056    -16.573639  0.000  0.000  0.000  0.000  0.002  0.002  0.401  0.002  0.407  0.819
   2.04542    -16.568481  0.000  0.000  0.000  0.000  0.002  0.002  0.397  0.002  0.411  0.819
   2.08029    -16.561393  0.000  0.000  0.000  0.000  0.002  0.003  0.392  0.002  0.418  0.821
   2.11515    -16.552566  0.000  0.000  0.000  0.000  0.003  0.003  0.385  0.003  0.427  0.823
   2.15002    -16.542177  0.000  0.000  0.000  0.000  0.003  0.003  0.378  0.003  0.436  0.824
   2.18488    -16.530531  0.000  0.000  0.000  0.000  0.003  0.003  0.369  0.003  0.448  0.827
   2.21975    -16.517932  0.000  0.000  0.000  0.000  0.003  0.003  0.359  0.003  0.460  0.830
   2.25461    -16.504803  0.000  0.000  0.000  0.000  0.004  0.003  0.350  0.004  0.473  0.833
   2.28947    -16.491583  0.000  0.000  0.000  0.000  0.003  0.003  0.341  0.003  0.486  0.836
   2.32434    -16.478773  0.000  0.000  0.000  0.000  0.002  0.003  0.337  0.002  0.493  0.838
   2.35920    -16.466881  0.000  0.000  0.000  0.000  0.003  0.002  0.335  0.002  0.497  0.842
   2.35920    -16.466881  0.000  0.000  0.000  0.000  0.003  0.002  0.335  0.002  0.497  0.842
   2.39618    -16.466426  0.000  0.000  0.000  0.000  0.003  0.003  0.375  0.002  0.457  0.842
   2.43316    -16.465138  0.000  0.000  0.000  0.000  0.003  0.003  0.416  0.002  0.416  0.842
   2.47014    -16.463113  0.000  0.000  0.000  0.000  0.002  0.003  0.458  0.002  0.377  0.843
   2.50712    -16.460523  0.000  0.000  0.000  0.000  0.002  0.003  0.500  0.002  0.334  0.844
   2.54410    -16.457688  0.000  0.000  0.000  0.000  0.003  0.002  0.546  0.002  0.292  0.845
   2.58108    -16.455039  0.000  0.000  0.000  0.000  0.003  0.002  0.587  0.000  0.252  0.846
   2.61806    -16.453116  0.000  0.000  0.000  0.000  0.003  0.002  0.618  0.000  0.222  0.848
   2.65504    -16.452407  0.000  0.000  0.000  0.000  0.002  0.002  0.632  0.000  0.210  0.848
 
# Band-Index:    2
   2.65504    -16.452407  0.000  0.000  0.000  0.000  0.002  0.002  0.632  0.000  0.210  0.848
   2.61806    -16.453115  0.000  0.000  0.000  0.000  0.003  0.002  0.619  0.000  0.222  0.848
   2.58108    -16.455035  0.000  0.000  0.000  0.000  0.003  0.002  0.587  0.000  0.252  0.846
   2.54410    -16.457684  0.000  0.000  0.000  0.000  0.003  0.002  0.546  0.002  0.292  0.845
   2.50712    -16.460517  0.000  0.000  0.000  0.000  0.002  0.003  0.500  0.002  0.334  0.844
   2.47014    -16.463107  0.000  0.000  0.000  0.000  0.002  0.003  0.458  0.002  0.377  0.843
   2.43316    -16.465132  0.000  0.000  0.000  0.000  0.003  0.003  0.416  0.002  0.416  0.842
   2.39618    -16.466419  0.000  0.000  0.000  0.000  0.003  0.003  0.375  0.002  0.457  0.842
   2.35920    -16.466874  0.000  0.000  0.000  0.000  0.003  0.002  0.335  0.002  0.497  0.842
   2.35920    -16.466874  0.000  0.000  0.000  0.000  0.003  0.002  0.335  0.002  0.497  0.842
   2.32434    -16.456240  0.000  0.000  0.000  0.000  0.004  0.001  0.340  0.004  0.492  0.844
   2.28947    -16.447161  0.000  0.000  0.000  0.000  0.004  0.001  0.352  0.004  0.483  0.845
   2.25461    -16.439691  0.000  0.000  0.000  0.000  0.005  0.001  0.368  0.005  0.467  0.849
   2.21975    -16.433737  0.000  0.000  0.000  0.000  0.006  0.001  0.387  0.006  0.449  0.849
   2.18488    -16.429112  0.000  0.000  0.000  0.000  0.006  0.001  0.404  0.006  0.430  0.851
   2.15002    -16.425579  0.000  0.000  0.000  0.000  0.007  0.000  0.421  0.007  0.414  0.851
   2.11515    -16.422929  0.002  0.000  0.000  0.000  0.008  0.000  0.435  0.008  0.400  0.853
   2.08029    -16.420963  0.002  0.000  0.000  0.000  0.009  0.000  0.446  0.009  0.388  0.853
   2.04542    -16.419575  0.002  0.000  0.000  0.000  0.010  0.000  0.454  0.010  0.378  0.853
   2.01056    -16.418632  0.002  0.000  0.000  0.000  0.010  0.000  0.459  0.010  0.372  0.852
   1.97569    -16.418096  0.002  0.000  0.000  0.000  0.010  0.000  0.463  0.010  0.368  0.855
   1.94083    -16.417931  0.001  0.000  0.000  0.000  0.002  0.013  0.355  0.004  0.476  0.854
   1.94083    -16.417931  0.001  0.000  0.000  0.000  0.002  0.013  0.355  0.004  0.476  0.854
   1.90880    -16.421595  0.001  0.000  0.000  0.000  0.002  0.013  0.345  0.004  0.487  0.853
   1.87678    -16.431411  0.001  0.000  0.000  0.000  0.001  0.011  0.316  0.005  0.513  0.850
   1.84475    -16.445002  0.002  0.000  0.000  0.000  0.000  0.010  0.284  0.006  0.544  0.848
   1.81273    -16.460420  0.002  0.000  0.000  0.000  0.000  0.009  0.259  0.008  0.567  0.844
   1.78070    -16.476366  0.002  0.000  0.000  0.000  0.000  0.008  0.242  0.008  0.580  0.841
   1.74868    -16.492082  0.002  0.000  0.000  0.000  0.000  0.007  0.234  0.008  0.587  0.838
   1.71665    -16.507065  0.002  0.000  0.000  0.000  0.000  0.006  0.228  0.008  0.590  0.835
   1.68463    -16.520992  0.002  0.000  0.000  0.000  0.000  0.006  0.226  0.008  0.590  0.831
   1.65260    -16.533643  0.002  0.000  0.000  0.000  0.000  0.005  0.224  0.009  0.589  0.830
   1.62058    -16.544868  0.002  0.000  0.000  0.000  0.000  0.005  0.223  0.009  0.588  0.828
   1.58855    -16.554535  0.002  0.000  0.000  0.000  0.000  0.005  0.222  0.008  0.587  0.826
   1.55653    -16.562550  0.002  0.000  0.000  0.000  0.000  0.005  0.222  0.008  0.587  0.824
   1.52450    -16.568850  0.002  0.000  0.000  0.000  0.000  0.005  0.223  0.008  0.586  0.824
   1.49247    -16.573379  0.002  0.000  0.000  0.000  0.000  0.005  0.223  0.008  0.585  0.822
   1.46045    -16.576113  0.002  0.000  0.000  0.000  0.000  0.004  0.222  0.008  0.585  0.823
   1.42842    -16.577024  0.001  0.000  0.000  0.000  0.000  0.014  0.210  0.000  0.596  0.822
   1.42842    -16.577024  0.001  0.000  0.000  0.000  0.000  0.014  0.210  0.000  0.596  0.822
   1.39539    -16.576357  0.000  0.000  0.000  0.000  0.016  0.000  0.806  0.000  0.000  0.822
   1.36237    -16.574367  0.000  0.000  0.000  0.000  0.014  0.000  0.808  0.000  0.000  0.822
   1.32934    -16.571090  0.000  0.000  0.000  0.000  0.014  0.000  0.806  0.000  0.000  0.822
   1.29631    -16.566547  0.000  0.000  0.000  0.000  0.014  0.000  0.810  0.000  0.000  0.824
   1.26328    -16.560818  0.000  0.000  0.000  0.000  0.014  0.000  0.808  0.000  0.000  0.826
   1.23025    -16.553983  0.000  0.000  0.000  0.000  0.014  0.000  0.812  0.000  0.000  0.828
   1.19722    -16.546125  0.000  0.000  0.000  0.000  0.012  0.000  0.812  0.000  0.000  0.828
   1.16419    -16.537362  0.000  0.000  0.000  0.000  0.012  0.000  0.814  0.000  0.000  0.830
   1.13116    -16.527791  0.000  0.000  0.000  0.000  0.014  0.000  0.816  0.000  0.000  0.832
