     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -13.79072     0.06446     0.03310     0.03310     0.03310     0.80016     0.80016    37.93600     0.80016    37.93600    78.43626
   -13.78672     0.07250     0.03670     0.03670     0.03670     0.79456     0.79456    42.17600     0.79456    42.17600    86.91829
   -13.78272     0.07710     0.03789     0.03789     0.03789     0.93008     0.93008    44.40000     0.93008    44.40000    91.78101
   -13.77872     0.07245     0.03661     0.03661     0.03661     0.89264     0.89264    43.29600     0.89264    43.29600    89.45219
   -13.77472     0.07238     0.03598     0.03598     0.03598     1.00768     1.00768    43.52000     1.00768    43.52000    90.24338
   -13.77072     0.06786     0.03376     0.03376     0.03376     0.94944     0.94944    41.31200     0.94944    41.31200    85.64146
   -13.76672     0.06765     0.03310     0.03310     0.03310     1.04864     1.04864    41.47200     1.04864    41.47200    86.25688
   -13.76272     0.06922     0.03304     0.03304     0.03304     1.20416     1.20416    42.48000     1.20416    42.48000    88.74082
   -13.75872     0.06762     0.03206     0.03206     0.03206     1.23824     1.23824    42.04800     1.23824    42.04800    87.97453
   -13.75472     0.06069     0.03010     0.03010     0.03010     1.19504     1.19504    40.22400     1.19504    40.22400    84.18410
   -13.75072     0.06794     0.03352     0.03352     0.03352     1.45776     1.45776    45.87200     1.45776    45.87200    96.28578
   -13.74672     0.06702     0.03234     0.03234     0.03234     1.46272     1.46272    45.04000     1.46272    45.04000    94.63219
   -13.74272     0.05858     0.02654     0.02654     0.02654     1.31920     1.31920    38.12800     1.31920    38.12800    80.35181
   -13.73872     0.06016     0.02699     0.02699     0.02699     1.56768     1.56768    40.35200     1.56768    40.35200    85.54818
   -13.73472     0.05922     0.02650     0.02650     0.02650     1.66400     1.66400    40.75200     1.66400    40.75200    86.63470
   -13.73072     0.05069     0.02277     0.02277     0.02277     1.49488     1.49488    35.92000     1.49488    35.92000    76.44363
   -13.72672     0.04398     0.01907     0.01907     0.01907     1.34288     1.34288    31.08800     1.34288    31.08800    66.30584
   -13.72272     0.06330     0.02226     0.02226     0.02226     2.21280     2.21280    38.88000     2.21280    38.88000    84.52846
   -13.71872     0.07670     0.02477     0.02477     0.02477     2.85760     2.85760    45.08800     2.85760    45.08800    98.89981
   -13.71472     0.20304     0.02522     0.02522     0.02522     6.16160     6.16160    46.89600     6.16160    46.89600   112.55549
   -13.71072     0.36576     0.02184     0.02184     0.02184    10.74560    10.74560    41.87200    10.74560    41.87200   116.41208
   -13.70672     0.14806     0.01904     0.01904     0.01904     5.02240     5.02240    38.06400     5.02240    38.06400    91.40038
   -13.70272     0.15877     0.01808     0.01808     0.01808     5.86240     5.86240    38.09600     5.86240    38.09600    93.99221
   -13.69872     0.43632     0.02158     0.02158     0.02158    16.62400    16.62400    47.92000    16.62400    47.92000   146.21307
   -13.69472     0.27856     0.01834     0.01834     0.01834    11.50560    11.50560    41.05600    11.50560    41.05600   116.96237
   -13.69072     0.27296     0.01650     0.01650     0.01650    12.05280    12.05280    37.79200    12.05280    37.79200   112.06485
   -13.68672     0.36160     0.01928     0.01928     0.01928    17.66400    17.66400    45.72800    17.66400    45.72800   144.86744
   -13.68272     0.49648     0.02286     0.02286     0.02286    25.42400    25.42400    53.58400    25.42400    53.58400   184.00507
   -13.67872     0.33648     0.01512     0.01512     0.01512    16.24000    16.24000    28.01600    16.24000    28.01600   105.13384
   -13.67472     0.26416     0.01299     0.01299     0.01299    13.54240    13.54240    22.08000    13.54240    22.08000    85.09034
   -13.67072     0.28592     0.01467     0.01467     0.01467    16.11200    16.11200    22.94400    16.11200    22.94400    94.55393
   -13.66672     0.39488     0.01966     0.01966     0.01966    23.98400    23.98400    25.48800    23.98400    25.48800   123.38187
   -13.66272     0.38720     0.02070     0.02070     0.02070    25.76000    25.76000    26.83200    25.76000    26.83200   131.39331
   -13.65872     0.43008     0.02458     0.02458     0.02458    31.47200    31.47200    35.40800    31.47200    35.40800   165.73581
   -13.65472     0.50848     0.03048     0.03048     0.03048    40.60800    40.60800    46.36800    40.60800    46.36800   215.15992
   -13.65072     0.57984     0.03704     0.03704     0.03704    50.72000    50.72000    68.57600    50.72000    68.57600   290.00296
   -13.64672     0.56560     0.04267     0.04267     0.04267    59.53600    59.53600   138.28800    59.53600   138.28800   455.87762
   -13.64272     0.54560     0.04958     0.04958     0.04958    73.18400    73.18400   261.60000    73.18400   261.60000   743.44635
   -13.63872     0.46256     0.04861     0.04861     0.04861    70.33600    70.33600   296.64000    70.33600   296.64000   804.89638
   -13.63472     0.40576     0.04008     0.04008     0.04008    55.63200    55.63200   192.80000    55.63200   192.80000   553.02200
   -13.63072     0.30928     0.03216     0.03216     0.03216    42.24000    42.24000   127.61600    42.24000   127.61600   382.35776
   -13.62672     0.25952     0.02562     0.02562     0.02562    34.16000    34.16000    52.73600    34.16000    52.73600   208.28837
   -13.62272     0.18144     0.01950     0.01950     0.01950    25.69600    25.69600    62.78400    25.69600    62.78400   202.89595
   -13.61872     0.27664     0.03286     0.03286     0.03286    43.48800    43.48800   133.50400    43.48800   133.50400   397.84723
   -13.61472     0.20416     0.02715     0.02715     0.02715    36.06400    36.06400   248.32000    36.06400   248.32000   605.11762
   -13.61072     0.12163     0.01862     0.01862     0.01862    24.80000    24.80000   378.88000    24.80000   378.88000   832.33750
   -13.60672     0.07800     0.01232     0.01232     0.01232    20.11200    20.11200   788.96000    20.11200   788.96000  1638.37096
   -13.60272     0.04056     0.00609     0.00609     0.00609     9.36640     9.36640    57.63200     9.36640    57.63200   143.42204
   -13.59872     0.01265     0.00212     0.00212     0.00212     3.23840     3.23840     0.06486     3.23840     0.06486     9.86395
   -13.59472     0.03173     0.00572     0.00572     0.00572     8.87520     8.87520     0.18816     8.87520     0.18816    27.05082
   -13.59072     0.05882     0.01130     0.01130     0.01130    17.77600    17.77600     0.38192    17.77600     0.38192    54.18456
   -13.58672     0.07517     0.01580     0.01580     0.01580    25.72800    25.72800     0.54592    25.72800     0.54592    78.39839
   -13.58272     0.07338     0.01661     0.01661     0.01661    27.79200    27.79200     0.58896    27.79200     0.58896    84.67712
   -13.57872     0.08414     0.02070     0.02070     0.02070    36.36800    36.36800     0.75712    36.36800     0.75712   110.76450
   -13.57472     0.07726     0.02038     0.02038     0.02038    37.20000    37.20000     0.76000    37.20000     0.76000   113.25842
   -13.57072     0.08571     0.02427     0.02427     0.02427    47.10400    47.10400     0.93072    47.10400     0.93072   143.33197
