# energy dos
-1.724650000000000105e+01 0.000000000000000000e+00
-1.724060000000000059e+01 0.000000000000000000e+00
-1.723470000000000013e+01 0.000000000000000000e+00
-1.722879999999999967e+01 0.000000000000000000e+00
-1.722289999999999921e+01 0.000000000000000000e+00
-1.721699999999999875e+01 0.000000000000000000e+00
-1.721110000000000184e+01 0.000000000000000000e+00
-1.720530000000000115e+01 0.000000000000000000e+00
-1.719940000000000069e+01 0.000000000000000000e+00
-1.719350000000000023e+01 0.000000000000000000e+00
-1.718759999999999977e+01 0.000000000000000000e+00
-1.718169999999999931e+01 0.000000000000000000e+00
-1.717579999999999885e+01 0.000000000000000000e+00
-1.716990000000000194e+01 0.000000000000000000e+00
-1.716400000000000148e+01 0.000000000000000000e+00
-1.715810000000000102e+01 0.000000000000000000e+00
-1.715230000000000032e+01 0.000000000000000000e+00
-1.714639999999999986e+01 0.000000000000000000e+00
-1.714049999999999940e+01 0.000000000000000000e+00
-1.713459999999999894e+01 0.000000000000000000e+00
-1.712869999999999848e+01 0.000000000000000000e+00
-1.712280000000000157e+01 0.000000000000000000e+00
-1.711690000000000111e+01 0.000000000000000000e+00
-1.711100000000000065e+01 0.000000000000000000e+00
-1.710510000000000019e+01 0.000000000000000000e+00
-1.709929999999999950e+01 0.000000000000000000e+00
-1.709339999999999904e+01 0.000000000000000000e+00
-1.708749999999999858e+01 0.000000000000000000e+00
-1.708160000000000167e+01 0.000000000000000000e+00
-1.707570000000000121e+01 0.000000000000000000e+00
-1.706980000000000075e+01 0.000000000000000000e+00
-1.706390000000000029e+01 0.000000000000000000e+00
-1.705799999999999983e+01 0.000000000000000000e+00
-1.705209999999999937e+01 0.000000000000000000e+00
-1.704629999999999868e+01 0.000000000000000000e+00
-1.704040000000000177e+01 0.000000000000000000e+00
-1.703450000000000131e+01 0.000000000000000000e+00
-1.702860000000000085e+01 0.000000000000000000e+00
-1.702270000000000039e+01 0.000000000000000000e+00
-1.701679999999999993e+01 0.000000000000000000e+00
-1.701089999999999947e+01 0.000000000000000000e+00
-1.700499999999999901e+01 0.000000000000000000e+00
-1.699909999999999854e+01 0.000000000000000000e+00
-1.699330000000000140e+01 0.000000000000000000e+00
-1.698740000000000094e+01 0.000000000000000000e+00
-1.698150000000000048e+01 0.000000000000000000e+00
-1.697560000000000002e+01 0.000000000000000000e+00
-1.696969999999999956e+01 0.000000000000000000e+00
-1.696379999999999910e+01 0.000000000000000000e+00
-1.695789999999999864e+01 0.000000000000000000e+00
-1.695200000000000173e+01 0.000000000000000000e+00
-1.694610000000000127e+01 0.000000000000000000e+00
-1.694030000000000058e+01 0.000000000000000000e+00
-1.693440000000000012e+01 0.000000000000000000e+00
-1.692849999999999966e+01 0.000000000000000000e+00
-1.692259999999999920e+01 0.000000000000000000e+00
-1.691669999999999874e+01 0.000000000000000000e+00
-1.691080000000000183e+01 0.000000000000000000e+00
-1.690490000000000137e+01 0.000000000000000000e+00
-1.689900000000000091e+01 0.000000000000000000e+00
-1.689310000000000045e+01 0.000000000000000000e+00
-1.688729999999999976e+01 0.000000000000000000e+00
-1.688139999999999930e+01 0.000000000000000000e+00
-1.687549999999999883e+01 0.000000000000000000e+00
-1.686960000000000193e+01 0.000000000000000000e+00
-1.686370000000000147e+01 0.000000000000000000e+00
-1.685780000000000101e+01 0.000000000000000000e+00
-1.685190000000000055e+01 0.000000000000000000e+00
-1.684600000000000009e+01 0.000000000000000000e+00
-1.684009999999999962e+01 0.000000000000000000e+00
-1.683429999999999893e+01 0.000000000000000000e+00
-1.682839999999999847e+01 0.000000000000000000e+00
-1.682250000000000156e+01 0.000000000000000000e+00
-1.681660000000000110e+01 0.000000000000000000e+00
-1.681070000000000064e+01 0.000000000000000000e+00
-1.680480000000000018e+01 0.000000000000000000e+00
-1.679889999999999972e+01 0.000000000000000000e+00
-1.679299999999999926e+01 0.000000000000000000e+00
-1.678709999999999880e+01 0.000000000000000000e+00
-1.678130000000000166e+01 0.000000000000000000e+00
-1.677540000000000120e+01 0.000000000000000000e+00
-1.676950000000000074e+01 0.000000000000000000e+00
-1.676360000000000028e+01 0.000000000000000000e+00
-1.675769999999999982e+01 0.000000000000000000e+00
-1.675179999999999936e+01 0.000000000000000000e+00
-1.674589999999999890e+01 0.000000000000000000e+00
-1.674000000000000199e+01 0.000000000000000000e+00
-1.673410000000000153e+01 0.000000000000000000e+00
-1.672830000000000084e+01 0.000000000000000000e+00
-1.672240000000000038e+01 0.000000000000000000e+00
-1.671649999999999991e+01 0.000000000000000000e+00
-1.671059999999999945e+01 0.000000000000000000e+00
-1.670469999999999899e+01 0.000000000000000000e+00
-1.669879999999999853e+01 0.000000000000000000e+00
-1.669290000000000163e+01 0.000000000000000000e+00
-1.668700000000000117e+01 0.000000000000000000e+00
-1.668110000000000070e+01 0.000000000000000000e+00
-1.667530000000000001e+01 0.000000000000000000e+00
-1.666939999999999955e+01 0.000000000000000000e+00
-1.666349999999999909e+01 0.000000000000000000e+00
-1.665759999999999863e+01 0.000000000000000000e+00
-1.665170000000000172e+01 0.000000000000000000e+00
-1.664580000000000126e+01 0.000000000000000000e+00
-1.663990000000000080e+01 0.000000000000000000e+00
-1.663400000000000034e+01 0.000000000000000000e+00
-1.662809999999999988e+01 0.000000000000000000e+00
-1.662229999999999919e+01 0.000000000000000000e+00
-1.661639999999999873e+01 0.000000000000000000e+00
-1.661050000000000182e+01 0.000000000000000000e+00
-1.660460000000000136e+01 0.000000000000000000e+00
-1.659870000000000090e+01 0.000000000000000000e+00
-1.659280000000000044e+01 0.000000000000000000e+00
-1.658689999999999998e+01 0.000000000000000000e+00
-1.658099999999999952e+01 0.000000000000000000e+00
-1.657509999999999906e+01 0.000000000000000000e+00
-1.656930000000000192e+01 0.000000000000000000e+00
-1.656340000000000146e+01 0.000000000000000000e+00
-1.655750000000000099e+01 0.000000000000000000e+00
-1.655160000000000053e+01 0.000000000000000000e+00
-1.654570000000000007e+01 0.000000000000000000e+00
-1.653979999999999961e+01 0.000000000000000000e+00
-1.653389999999999915e+01 0.000000000000000000e+00
-1.652799999999999869e+01 0.000000000000000000e+00
-1.652210000000000178e+01 0.000000000000000000e+00
-1.651630000000000109e+01 0.000000000000000000e+00
-1.651040000000000063e+01 0.000000000000000000e+00
-1.650450000000000017e+01 0.000000000000000000e+00
-1.649859999999999971e+01 0.000000000000000000e+00
-1.649269999999999925e+01 0.000000000000000000e+00
-1.648679999999999879e+01 0.000000000000000000e+00
-1.648090000000000188e+01 0.000000000000000000e+00
-1.647500000000000142e+01 0.000000000000000000e+00
-1.646910000000000096e+01 0.000000000000000000e+00
-1.646330000000000027e+01 0.000000000000000000e+00
-1.645739999999999981e+01 0.000000000000000000e+00
-1.645149999999999935e+01 0.000000000000000000e+00
-1.644559999999999889e+01 0.000000000000000000e+00
-1.643970000000000198e+01 0.000000000000000000e+00
-1.643380000000000152e+01 0.000000000000000000e+00
-1.642790000000000106e+01 0.000000000000000000e+00
-1.642200000000000060e+01 0.000000000000000000e+00
-1.641610000000000014e+01 0.000000000000000000e+00
-1.641029999999999944e+01 0.000000000000000000e+00
-1.640439999999999898e+01 0.000000000000000000e+00
-1.639849999999999852e+01 0.000000000000000000e+00
-1.639260000000000161e+01 0.000000000000000000e+00
-1.638670000000000115e+01 0.000000000000000000e+00
-1.638080000000000069e+01 0.000000000000000000e+00
-1.637490000000000023e+01 0.000000000000000000e+00
-1.636899999999999977e+01 0.000000000000000000e+00
-1.636309999999999931e+01 0.000000000000000000e+00
-1.635729999999999862e+01 0.000000000000000000e+00
-1.635140000000000171e+01 0.000000000000000000e+00
-1.634550000000000125e+01 0.000000000000000000e+00
-1.633960000000000079e+01 0.000000000000000000e+00
-1.633370000000000033e+01 0.000000000000000000e+00
-1.632779999999999987e+01 0.000000000000000000e+00
-1.632189999999999941e+01 0.000000000000000000e+00
-1.631599999999999895e+01 0.000000000000000000e+00
-1.631009999999999849e+01 0.000000000000000000e+00
-1.630430000000000135e+01 0.000000000000000000e+00
-1.629840000000000089e+01 0.000000000000000000e+00
-1.629250000000000043e+01 0.000000000000000000e+00
-1.628659999999999997e+01 0.000000000000000000e+00
-1.628069999999999951e+01 0.000000000000000000e+00
-1.627479999999999905e+01 0.000000000000000000e+00
-1.626889999999999858e+01 0.000000000000000000e+00
-1.626300000000000168e+01 0.000000000000000000e+00
-1.625710000000000122e+01 0.000000000000000000e+00
-1.625130000000000052e+01 0.000000000000000000e+00
-1.624540000000000006e+01 0.000000000000000000e+00
-1.623949999999999960e+01 0.000000000000000000e+00
-1.623359999999999914e+01 0.000000000000000000e+00
-1.622769999999999868e+01 0.000000000000000000e+00
-1.622180000000000177e+01 0.000000000000000000e+00
-1.621590000000000131e+01 0.000000000000000000e+00
-1.621000000000000085e+01 0.000000000000000000e+00
-1.620410000000000039e+01 0.000000000000000000e+00
-1.619829999999999970e+01 0.000000000000000000e+00
-1.619239999999999924e+01 0.000000000000000000e+00
-1.618649999999999878e+01 0.000000000000000000e+00
-1.618060000000000187e+01 0.000000000000000000e+00
-1.617470000000000141e+01 0.000000000000000000e+00
-1.616880000000000095e+01 0.000000000000000000e+00
-1.616290000000000049e+01 0.000000000000000000e+00
-1.615700000000000003e+01 0.000000000000000000e+00
-1.615109999999999957e+01 0.000000000000000000e+00
-1.614529999999999887e+01 0.000000000000000000e+00
-1.613940000000000197e+01 0.000000000000000000e+00
-1.613350000000000151e+01 0.000000000000000000e+00
-1.612760000000000105e+01 0.000000000000000000e+00
-1.612170000000000059e+01 0.000000000000000000e+00
-1.611580000000000013e+01 0.000000000000000000e+00
-1.610989999999999966e+01 0.000000000000000000e+00
-1.610399999999999920e+01 0.000000000000000000e+00
-1.609809999999999874e+01 0.000000000000000000e+00
-1.609230000000000160e+01 0.000000000000000000e+00
-1.608640000000000114e+01 0.000000000000000000e+00
-1.608050000000000068e+01 0.000000000000000000e+00
-1.607460000000000022e+01 0.000000000000000000e+00
-1.606869999999999976e+01 0.000000000000000000e+00
-1.606279999999999930e+01 0.000000000000000000e+00
-1.605689999999999884e+01 0.000000000000000000e+00
-1.605100000000000193e+01 0.000000000000000000e+00
-1.604510000000000147e+01 0.000000000000000000e+00
-1.603930000000000078e+01 0.000000000000000000e+00
-1.603340000000000032e+01 0.000000000000000000e+00
-1.602749999999999986e+01 0.000000000000000000e+00
-1.602159999999999940e+01 0.000000000000000000e+00
-1.601569999999999894e+01 0.000000000000000000e+00
-1.600979999999999848e+01 0.000000000000000000e+00
-1.600390000000000157e+01 0.000000000000000000e+00
-1.599800000000000111e+01 0.000000000000000000e+00
-1.599210000000000065e+01 0.000000000000000000e+00
-1.598629999999999995e+01 0.000000000000000000e+00
-1.598039999999999949e+01 0.000000000000000000e+00
-1.597449999999999903e+01 0.000000000000000000e+00
-1.596859999999999857e+01 1.548463472701162216e-09
-1.596270000000000167e+01 4.012901129468189388e-09
-1.595680000000000121e+01 7.881113621868664581e-09
-1.595090000000000074e+01 1.386906721479994519e-08
-1.594500000000000028e+01 2.301066574142595056e-08
-1.593909999999999982e+01 3.677456479139966783e-08
-1.593329999999999913e+01 5.876093574066607850e-08
-1.592739999999999867e+01 9.115539254052988367e-08
-1.592150000000000176e+01 1.382504139469789967e-07
-1.591560000000000130e+01 2.058091926637858346e-07
-1.590970000000000084e+01 3.029905471246416535e-07
-1.590380000000000038e+01 4.390433260250719510e-07
-1.589789999999999992e+01 6.286150160893697576e-07
-1.589199999999999946e+01 8.876039350583945184e-07
-1.588609999999999900e+01 1.238558121112254425e-06
-1.588030000000000186e+01 1.708125840213655095e-06
-1.587440000000000140e+01 2.328721300267096608e-06
-1.586850000000000094e+01 3.139207573342352712e-06
-1.586260000000000048e+01 4.185528205072996160e-06
-1.585670000000000002e+01 5.521261647222500601e-06
-1.585079999999999956e+01 7.209626665901726743e-06
-1.584489999999999910e+01 9.321649300829683532e-06
-1.583899999999999864e+01 1.193752173426916326e-05
-1.583310000000000173e+01 1.514697177484795397e-05
-1.582730000000000103e+01 1.905119699521995585e-05
-1.582140000000000057e+01 2.375959649877809984e-05
-1.581550000000000011e+01 2.939677284000749292e-05
-1.580959999999999965e+01 3.609654251162181584e-05
-1.580369999999999919e+01 4.400907398536651045e-05
-1.579779999999999873e+01 5.330108577269737912e-05
-1.579190000000000182e+01 6.415701987539126590e-05
-1.578600000000000136e+01 7.678461032856893616e-05
-1.578010000000000090e+01 9.141630400880366590e-05
-1.577430000000000021e+01 1.083160163923326929e-04
-1.576839999999999975e+01 1.277831997607479207e-04
-1.576249999999999929e+01 1.501583657364884117e-04
-1.575659999999999883e+01 1.758274707185165562e-04
-1.575070000000000192e+01 2.052319040434075995e-04
-1.574480000000000146e+01 2.388716920282863570e-04
-1.573890000000000100e+01 2.773130817846435709e-04
-1.573300000000000054e+01 3.211952946052592183e-04
-1.572710000000000008e+01 3.712389453612314886e-04
-1.572129999999999939e+01 4.282508646566223170e-04
-1.571539999999999893e+01 4.931339371010361834e-04
-1.570949999999999847e+01 5.668940757295019579e-04
-1.570360000000000156e+01 6.506471041276591519e-04
-1.569770000000000110e+01 7.456315218987789309e-04
-1.569180000000000064e+01 8.532149410501027858e-04
-1.568590000000000018e+01 9.749054887864480341e-04
-1.567999999999999972e+01 1.112363038106403993e-03
-1.567409999999999926e+01 1.267412763592213644e-03
-1.566829999999999856e+01 1.442057234740381057e-03
-1.566240000000000165e+01 1.638490239799584528e-03
-1.565650000000000119e+01 1.859111289108771308e-03
-1.565060000000000073e+01 2.106540678701329574e-03
-1.564470000000000027e+01 2.383636521039205012e-03
-1.563879999999999981e+01 2.693508305759834392e-03
-1.563289999999999935e+01 3.039535395752836211e-03
-1.562699999999999889e+01 3.425382348070580424e-03
-1.562110000000000198e+01 3.855015139029132655e-03
-1.561530000000000129e+01 4.332717203559315056e-03
-1.560940000000000083e+01 4.863106705145166936e-03
-1.560350000000000037e+01 5.451149619319127851e-03
-1.559759999999999991e+01 6.102177056749973072e-03
-1.559169999999999945e+01 6.821900276636061813e-03
-1.558579999999999899e+01 7.616420641958266541e-03
-1.557989999999999853e+01 8.492245716259070112e-03
-1.557400000000000162e+01 9.456301657686714407e-03
-1.556810000000000116e+01 1.051594316546167543e-02
-1.556230000000000047e+01 1.167896060253338988e-02
-1.555640000000000001e+01 1.295359361547708185e-02
-1.555049999999999955e+01 1.434853282007585509e-02
-1.554459999999999908e+01 1.587292587672332195e-02
