#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120  52
# Band-Index    1
   1.51553    -14.144926  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   1.54414    -14.143077  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   1.57276    -14.137523  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   1.60137    -14.128293  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   1.62998    -14.115424  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   1.65860    -14.098998  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   1.68721    -14.079099  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   1.71582    -14.055851  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   1.74444    -14.029437  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   1.77305    -14.000032  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.016
   1.80166    -13.967903  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.016
   1.83028    -13.933400  0.014  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.016
   1.85889    -13.896985  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.016
   1.88750    -13.859321  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.016
   1.91612    -13.821330  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.014
   1.94473    -13.784359  0.008  0.002  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.014
   1.97334    -13.750337  0.006  0.002  0.002  0.002  0.002  0.002  0.000  0.002  0.000  0.014
   2.00196    -13.721996  0.006  0.002  0.002  0.002  0.002  0.002  0.000  0.002  0.000  0.012
   2.03057    -13.702766  0.004  0.002  0.002  0.002  0.002  0.002  0.000  0.002  0.000  0.012
   2.05918    -13.695891  0.004  0.002  0.002  0.002  0.002  0.002  0.000  0.002  0.000  0.012
   2.05918    -13.695891  0.004  0.002  0.002  0.002  0.002  0.002  0.000  0.002  0.000  0.012
   2.08254    -13.694750  0.004  0.002  0.002  0.002  0.002  0.002  0.000  0.002  0.000  0.012
   2.10591    -13.691334  0.004  0.002  0.002  0.002  0.002  0.002  0.000  0.002  0.000  0.012
   2.12927    -13.685654  0.004  0.002  0.002  0.002  0.002  0.002  0.000  0.002  0.000  0.012
   2.15263    -13.677733  0.004  0.002  0.002  0.002  0.002  0.002  0.000  0.002  0.000  0.012
   2.17599    -13.667599  0.004  0.002  0.002  0.002  0.002  0.002  0.000  0.002  0.000  0.012
   2.19936    -13.655293  0.004  0.002  0.002  0.002  0.002  0.002  0.000  0.002  0.000  0.012
   2.22272    -13.640870  0.002  0.002  0.002  0.002  0.002  0.002  0.000  0.002  0.000  0.012
   2.24608    -13.624394  0.002  0.002  0.002  0.002  0.002  0.002  0.000  0.002  0.000  0.012
   2.26944    -13.605938  0.002  0.002  0.002  0.002  0.002  0.002  0.000  0.002  0.000  0.012
   2.29281    -13.585598  0.002  0.002  0.002  0.002  0.002  0.002  0.000  0.002  0.000  0.012
   2.31617    -13.563487  0.002  0.002  0.002  0.002  0.002  0.000  0.000  0.002  0.000  0.012
   2.33953    -13.539733  0.002  0.002  0.002  0.002  0.002  0.000  0.000  0.002  0.000  0.012
   2.36290    -13.514493  0.002  0.002  0.002  0.000  0.002  0.000  0.000  0.002  0.000  0.012
   2.38626    -13.487953  0.002  0.002  0.002  0.000  0.002  0.000  0.000  0.002  0.000  0.012
   2.40962    -13.460324  0.000  0.002  0.002  0.000  0.002  0.000  0.000  0.002  0.000  0.012
   2.43298    -13.431876  0.000  0.002  0.002  0.000  0.002  0.000  0.000  0.002  0.000  0.012
   2.45635    -13.402915  0.000  0.002  0.002  0.000  0.002  0.000  0.000  0.002  0.000  0.012
   2.47971    -13.373816  0.000  0.002  0.002  0.000  0.002  0.000  0.000  0.002  0.000  0.012
   2.50307    -13.345053  0.000  0.002  0.002  0.000  0.002  0.000  0.000  0.002  0.000  0.011
   2.50307    -13.345053  0.000  0.002  0.002  0.000  0.002  0.000  0.000  0.002  0.000  0.011
   2.51959    -13.345198  0.000  0.002  0.002  0.000  0.002  0.000  0.000  0.003  0.000  0.011
   2.53611    -13.345628  0.000  0.002  0.002  0.000  0.002  0.000  0.000  0.004  0.000  0.012
