# energy dos
-1.965981761000000105e+01 0.000000000000000000e+00
-1.965651761000000164e+01 0.000000000000000000e+00
-1.965311760999999890e+01 0.000000000000000000e+00
-1.964981760999999949e+01 0.000000000000000000e+00
-1.964651761000000008e+01 0.000000000000000000e+00
-1.964311761000000089e+01 0.000000000000000000e+00
-1.963981761000000148e+01 0.000000000000000000e+00
-1.963651760999999851e+01 0.000000000000000000e+00
-1.963311760999999933e+01 0.000000000000000000e+00
-1.962981760999999992e+01 0.000000000000000000e+00
-1.962651761000000050e+01 0.000000000000000000e+00
-1.962311761000000132e+01 0.000000000000000000e+00
-1.961981761000000191e+01 0.000000000000000000e+00
-1.961651760999999894e+01 0.000000000000000000e+00
-1.961311760999999976e+01 0.000000000000000000e+00
-1.960981761000000034e+01 0.000000000000000000e+00
-1.960651761000000093e+01 0.000000000000000000e+00
-1.960311761000000175e+01 0.000000000000000000e+00
-1.959981760999999878e+01 0.000000000000000000e+00
-1.959651760999999937e+01 0.000000000000000000e+00
-1.959311761000000018e+01 0.000000000000000000e+00
-1.958981761000000077e+01 0.000000000000000000e+00
-1.958651761000000135e+01 0.000000000000000000e+00
-1.958311760999999862e+01 0.000000000000000000e+00
-1.957981760999999921e+01 0.000000000000000000e+00
-1.957651760999999979e+01 0.000000000000000000e+00
-1.957311761000000061e+01 0.000000000000000000e+00
-1.956981761000000120e+01 0.000000000000000000e+00
-1.956651761000000178e+01 0.000000000000000000e+00
-1.956311760999999905e+01 0.000000000000000000e+00
-1.955981760999999963e+01 0.000000000000000000e+00
-1.955651761000000022e+01 0.000000000000000000e+00
-1.955311761000000104e+01 0.000000000000000000e+00
-1.954981761000000162e+01 0.000000000000000000e+00
-1.954651760999999865e+01 0.000000000000000000e+00
-1.954311760999999947e+01 0.000000000000000000e+00
-1.953981761000000006e+01 0.000000000000000000e+00
-1.953651761000000064e+01 0.000000000000000000e+00
-1.953311761000000146e+01 0.000000000000000000e+00
-1.952981760999999850e+01 0.000000000000000000e+00
-1.952651760999999908e+01 0.000000000000000000e+00
-1.952311760999999990e+01 0.000000000000000000e+00
-1.951981761000000049e+01 0.000000000000000000e+00
-1.951651761000000107e+01 0.000000000000000000e+00
-1.951311761000000189e+01 0.000000000000000000e+00
-1.950981760999999892e+01 0.000000000000000000e+00
-1.950651760999999951e+01 0.000000000000000000e+00
-1.950311761000000033e+01 0.000000000000000000e+00
-1.949981761000000091e+01 0.000000000000000000e+00
-1.949651761000000150e+01 0.000000000000000000e+00
-1.949311760999999876e+01 0.000000000000000000e+00
-1.948981760999999935e+01 0.000000000000000000e+00
-1.948651760999999993e+01 0.000000000000000000e+00
-1.948311761000000075e+01 0.000000000000000000e+00
-1.947981761000000134e+01 0.000000000000000000e+00
-1.947651761000000192e+01 0.000000000000000000e+00
-1.947311760999999919e+01 0.000000000000000000e+00
-1.946981760999999977e+01 0.000000000000000000e+00
-1.946651761000000036e+01 0.000000000000000000e+00
-1.946311761000000118e+01 0.000000000000000000e+00
-1.945981761000000176e+01 0.000000000000000000e+00
-1.945651760999999880e+01 0.000000000000000000e+00
-1.945311760999999962e+01 0.000000000000000000e+00
-1.944981761000000020e+01 0.000000000000000000e+00
-1.944651761000000079e+01 0.000000000000000000e+00
-1.944311761000000160e+01 0.000000000000000000e+00
-1.943981760999999864e+01 0.000000000000000000e+00
-1.943651760999999922e+01 0.000000000000000000e+00
-1.943311761000000004e+01 0.000000000000000000e+00
-1.942981761000000063e+01 0.000000000000000000e+00
-1.942651761000000121e+01 0.000000000000000000e+00
-1.942311760999999848e+01 0.000000000000000000e+00
-1.941981760999999906e+01 0.000000000000000000e+00
-1.941651760999999965e+01 0.000000000000000000e+00
-1.941311761000000047e+01 0.000000000000000000e+00
-1.940981761000000105e+01 0.000000000000000000e+00
-1.940651761000000164e+01 0.000000000000000000e+00
-1.940311760999999890e+01 0.000000000000000000e+00
-1.939981760999999949e+01 0.000000000000000000e+00
-1.939651761000000008e+01 0.000000000000000000e+00
-1.939311761000000089e+01 0.000000000000000000e+00
-1.938981761000000148e+01 0.000000000000000000e+00
-1.938651760999999851e+01 0.000000000000000000e+00
-1.938311760999999933e+01 0.000000000000000000e+00
-1.937981760999999992e+01 0.000000000000000000e+00
-1.937651761000000050e+01 0.000000000000000000e+00
-1.937311761000000132e+01 0.000000000000000000e+00
-1.936981761000000191e+01 0.000000000000000000e+00
-1.936651760999999894e+01 0.000000000000000000e+00
-1.936311760999999976e+01 0.000000000000000000e+00
-1.935981761000000034e+01 0.000000000000000000e+00
-1.935651761000000093e+01 0.000000000000000000e+00
-1.935311761000000175e+01 0.000000000000000000e+00
-1.934981760999999878e+01 0.000000000000000000e+00
-1.934651760999999937e+01 0.000000000000000000e+00
-1.934311761000000018e+01 0.000000000000000000e+00
-1.933981761000000077e+01 0.000000000000000000e+00
-1.933651761000000135e+01 0.000000000000000000e+00
-1.933311760999999862e+01 0.000000000000000000e+00
-1.932981760999999921e+01 0.000000000000000000e+00
-1.932651760999999979e+01 0.000000000000000000e+00
-1.932311761000000061e+01 0.000000000000000000e+00
-1.931981761000000120e+01 0.000000000000000000e+00
-1.931651761000000178e+01 0.000000000000000000e+00
-1.931311760999999905e+01 0.000000000000000000e+00
-1.930981760999999963e+01 0.000000000000000000e+00
-1.930651761000000022e+01 0.000000000000000000e+00
-1.930311761000000104e+01 0.000000000000000000e+00
-1.929981761000000162e+01 0.000000000000000000e+00
-1.929651760999999865e+01 0.000000000000000000e+00
-1.929311760999999947e+01 0.000000000000000000e+00
-1.928981761000000006e+01 0.000000000000000000e+00
-1.928651761000000064e+01 0.000000000000000000e+00
-1.928311761000000146e+01 0.000000000000000000e+00
-1.927981760999999850e+01 0.000000000000000000e+00
