#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 140  40
# Band-Index    1
   1.66522    -15.860406  0.115  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.118
   1.69449    -15.860641  0.114  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.119
   1.72375    -15.860904  0.114  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.118
   1.75302    -15.861168  0.113  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.118
   1.78228    -15.861405  0.113  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.117
   1.81154    -15.861591  0.114  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.117
   1.84081    -15.861710  0.114  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.117
   1.87007    -15.861751  0.114  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.117
   1.87007    -15.861751  0.114  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.117
   1.91932    -15.860253  0.113  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.117
   1.96856    -15.855788  0.113  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.116
   2.01780    -15.848422  0.112  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.115
   2.06705    -15.838274  0.110  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.114
   2.11629    -15.825510  0.108  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.113
   2.16553    -15.810372  0.107  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.111
   2.21478    -15.793172  0.105  0.000  0.003  0.001  0.000  0.000  0.000  0.000  0.000  0.109
   2.26402    -15.774326  0.102  0.000  0.003  0.001  0.000  0.000  0.000  0.000  0.000  0.106
   2.31326    -15.754362  0.098  0.000  0.003  0.001  0.000  0.000  0.000  0.000  0.000  0.103
   2.36251    -15.733955  0.095  0.000  0.004  0.001  0.000  0.000  0.000  0.000  0.000  0.100
   2.41175    -15.713930  0.091  0.000  0.004  0.001  0.000  0.000  0.000  0.000  0.000  0.096
   2.46099    -15.695231  0.087  0.000  0.004  0.001  0.000  0.000  0.000  0.000  0.000  0.092
   2.51024    -15.678791  0.083  0.000  0.004  0.001  0.000  0.000  0.000  0.000  0.000  0.089
   2.55948    -15.665319  0.080  0.000  0.005  0.001  0.000  0.000  0.000  0.000  0.000  0.086
   2.60872    -15.655104  0.077  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   2.65797    -15.647961  0.075  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.080
   2.70721    -15.643410  0.075  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.080
   2.75645    -15.640930  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.080
   2.80570    -15.640146  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   2.80570    -15.640146  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   2.86280    -15.641214  0.074  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   2.91990    -15.644653  0.075  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.080
   2.97700    -15.651106  0.076  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.000  0.081
   3.03410    -15.661349  0.078  0.000  0.005  0.001  0.000  0.000  0.000  0.000  0.000  0.084
