#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 149  48
# Band-Index:    1
   2.47003    -14.188722  0.064  0.000  0.000  0.000  0.000  0.000  0.002  0.000  0.000  0.064
   2.51637    -14.175166  0.062  0.000  0.000  0.000  0.000  0.000  0.002  0.000  0.000  0.064
   2.56270    -14.156684  0.060  0.000  0.002  0.000  0.000  0.000  0.004  0.000  0.000  0.066
   2.60904    -14.133771  0.058  0.000  0.002  0.000  0.000  0.000  0.006  0.000  0.000  0.066
   2.65538    -14.107018  0.056  0.000  0.002  0.000  0.000  0.000  0.010  0.000  0.000  0.068
   2.70172    -14.077123  0.052  0.000  0.004  0.000  0.000  0.000  0.014  0.000  0.000  0.070
   2.74806    -14.044878  0.048  0.000  0.004  0.000  0.000  0.000  0.018  0.000  0.000  0.072
   2.79440    -14.011133  0.046  0.000  0.006  0.000  0.000  0.000  0.022  0.000  0.000  0.074
   2.84074    -13.976783  0.041  0.000  0.006  0.000  0.000  0.000  0.028  0.000  0.000  0.075
   2.84074    -13.976783  0.041  0.000  0.006  0.000  0.000  0.000  0.028  0.000  0.000  0.075
   2.88425    -13.975050  0.041  0.000  0.006  0.000  0.000  0.000  0.028  0.000  0.000  0.077
   2.92775    -13.969891  0.041  0.000  0.006  0.000  0.000  0.000  0.028  0.000  0.000  0.077
   2.97126    -13.961431  0.040  0.000  0.006  0.000  0.002  0.000  0.028  0.000  0.000  0.077
   3.01477    -13.949879  0.039  0.000  0.006  0.000  0.002  0.000  0.027  0.001  0.000  0.078
   3.05828    -13.935529  0.038  0.000  0.006  0.001  0.003  0.000  0.026  0.002  0.001  0.078
   3.10179    -13.918739  0.036  0.000  0.006  0.002  0.005  0.001  0.026  0.003  0.002  0.080
   3.14530    -13.899916  0.033  0.000  0.006  0.002  0.007  0.001  0.025  0.003  0.002  0.081
   3.18881    -13.879548  0.031  0.001  0.006  0.003  0.009  0.002  0.025  0.005  0.003  0.083
   3.23231    -13.858144  0.028  0.001  0.005  0.003  0.011  0.002  0.024  0.006  0.003  0.084
   3.27582    -13.836240  0.025  0.002  0.005  0.005  0.014  0.002  0.024  0.007  0.005  0.087
   3.31933    -13.814394  0.023  0.002  0.005  0.005  0.016  0.003  0.022  0.008  0.005  0.088
   3.36284    -13.793126  0.020  0.002  0.005  0.005  0.019  0.003  0.021  0.009  0.006  0.091
   3.40635    -13.772967  0.018  0.002  0.005  0.006  0.021  0.003  0.021  0.011  0.007  0.093
   3.44986    -13.754413  0.015  0.002  0.005  0.006  0.024  0.004  0.020  0.012  0.008  0.096
   3.49336    -13.737907  0.013  0.003  0.004  0.007  0.025  0.004  0.019  0.012  0.009  0.097
   3.53687    -13.723862  0.012  0.003  0.004  0.007  0.027  0.004  0.019  0.013  0.009  0.099
   3.58038    -13.712585  0.010  0.003  0.004  0.008  0.029  0.004  0.018  0.014  0.010  0.100
   3.62389    -13.704338  0.009  0.003  0.004  0.008  0.031  0.004  0.018  0.014  0.010  0.101
   3.66740    -13.699310  0.008  0.003  0.004  0.008  0.031  0.005  0.018  0.015  0.010  0.102
   3.71091    -13.697615  0.008  0.003  0.004  0.008  0.031  0.005  0.018  0.015  0.010  0.102
   3.71091    -13.697615  0.008  0.003  0.004  0.008  0.031  0.005  0.018  0.015  0.010  0.102
   3.75658    -13.697041  0.008  0.003  0.004  0.008  0.030  0.005  0.017  0.015  0.011  0.102
   3.80225    -13.695359  0.008  0.003  0.004  0.008  0.031  0.005  0.017  0.015  0.011  0.102
   3.84792    -13.692667  0.008  0.003  0.004  0.008  0.031  0.005  0.017  0.015  0.012  0.103
   3.89360    -13.689151  0.007  0.004  0.004  0.008  0.030  0.006  0.018  0.015  0.013  0.103
   3.93927    -13.685028  0.007  0.004  0.004  0.008  0.030  0.007  0.017  0.014  0.014  0.104
   3.98494    -13.680589  0.005  0.004  0.004  0.008  0.029  0.007  0.017  0.014  0.016  0.104
   4.03061    -13.676155  0.005  0.005  0.004  0.007  0.028  0.008  0.017  0.013  0.018  0.105
   4.07628    -13.672075  0.004  0.005  0.003  0.007  0.027  0.009  0.016  0.013  0.019  0.106
   4.12196    -13.668706  0.005  0.005  0.003  0.008  0.026  0.010  0.016  0.013  0.021  0.106
   4.16763    -13.666431  0.004  0.006  0.003  0.007  0.025  0.010  0.017  0.012  0.023  0.106
   4.21330    -13.665595  0.004  0.006  0.003  0.006  0.024  0.011  0.016  0.011  0.024  0.106
   4.21330    -13.665595  0.004  0.006  0.003  0.006  0.024  0.011  0.016  0.011  0.024  0.106
