#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS:  84  76
# Band-Index:    1
   1.90880    -16.574255  0.000  0.000  0.000  0.000  0.002  0.002  0.403  0.002  0.404  0.816
   1.94083    -16.574274  0.000  0.000  0.000  0.000  0.002  0.002  0.403  0.002  0.404  0.816
   1.94083    -16.574274  0.000  0.000  0.000  0.000  0.002  0.002  0.403  0.002  0.404  0.816
   1.97569    -16.573207  0.000  0.000  0.000  0.000  0.002  0.002  0.402  0.002  0.404  0.818
   2.01056    -16.570067  0.000  0.000  0.000  0.000  0.002  0.002  0.401  0.002  0.406  0.819
   2.04542    -16.564909  0.000  0.000  0.000  0.000  0.002  0.002  0.397  0.002  0.411  0.819
   2.08029    -16.557820  0.000  0.000  0.000  0.000  0.002  0.003  0.392  0.002  0.418  0.821
   2.11515    -16.548994  0.000  0.000  0.000  0.000  0.003  0.003  0.385  0.003  0.427  0.823
   2.15002    -16.538604  0.000  0.000  0.000  0.000  0.003  0.003  0.378  0.003  0.436  0.824
   2.18488    -16.526959  0.000  0.000  0.000  0.000  0.003  0.003  0.369  0.003  0.448  0.827
   2.21975    -16.514359  0.000  0.000  0.000  0.000  0.003  0.003  0.359  0.003  0.460  0.830
   2.25461    -16.501231  0.000  0.000  0.000  0.000  0.004  0.003  0.350  0.004  0.473  0.833
   2.28947    -16.488010  0.000  0.000  0.000  0.000  0.003  0.003  0.341  0.003  0.486  0.836
   2.32434    -16.475200  0.000  0.000  0.000  0.000  0.002  0.003  0.337  0.002  0.493  0.838
   2.35920    -16.463307  0.000  0.000  0.000  0.000  0.003  0.002  0.336  0.002  0.497  0.840
   2.35920    -16.463307  0.000  0.000  0.000  0.000  0.003  0.002  0.336  0.002  0.497  0.840
   2.39618    -16.462852  0.000  0.000  0.000  0.000  0.003  0.002  0.375  0.002  0.457  0.842
   2.43316    -16.461564  0.000  0.000  0.000  0.000  0.003  0.002  0.416  0.002  0.417  0.843
   2.47014    -16.459539  0.000  0.000  0.000  0.000  0.002  0.002  0.457  0.002  0.376  0.842
   2.50712    -16.456949  0.000  0.000  0.000  0.000  0.002  0.002  0.502  0.002  0.335  0.844
   2.54410    -16.454115  0.000  0.000  0.000  0.000  0.002  0.002  0.544  0.000  0.292  0.845
   2.58108    -16.451466  0.000  0.000  0.000  0.000  0.003  0.003  0.586  0.000  0.252  0.846
   2.61806    -16.449544  0.000  0.000  0.000  0.000  0.002  0.002  0.619  0.000  0.222  0.847
   2.65504    -16.448836  0.000  0.000  0.000  0.000  0.002  0.002  0.632  0.000  0.210  0.848
 
# Band-Index:    2
   2.65504    -16.448834  0.000  0.000  0.000  0.000  0.002  0.002  0.632  0.000  0.210  0.848
   2.61806    -16.449542  0.000  0.000  0.000  0.000  0.002  0.002  0.619  0.000  0.222  0.847
   2.58108    -16.451463  0.000  0.000  0.000  0.000  0.003  0.003  0.586  0.000  0.252  0.846
   2.54410    -16.454111  0.000  0.000  0.000  0.000  0.002  0.002  0.544  0.000  0.292  0.845
   2.50712    -16.456945  0.000  0.000  0.000  0.000  0.002  0.002  0.502  0.002  0.334  0.844
   2.47014    -16.459534  0.000  0.000  0.000  0.000  0.002  0.002  0.457  0.002  0.377  0.842
   2.43316    -16.461559  0.000  0.000  0.000  0.000  0.003  0.002  0.416  0.002  0.417  0.843
   2.39618    -16.462845  0.000  0.000  0.000  0.000  0.003  0.002  0.375  0.002  0.457  0.841
   2.35920    -16.463300  0.000  0.000  0.000  0.000  0.003  0.002  0.336  0.002  0.497  0.841
   2.35920    -16.463300  0.000  0.000  0.000  0.000  0.003  0.002  0.336  0.002  0.497  0.841
   2.32434    -16.452666  0.000  0.000  0.000  0.000  0.004  0.001  0.340  0.004  0.492  0.844
