     #Energy            s           py          pz          px          dxy         dyz         dz2         dxz         dx2-y2      tot    
    # PDOS obtained from EIGENVAL and PROCAR files
   -13.38720     0.03973     0.04154     0.01428     0.02402     0.03252     0.04959     0.00000     0.08282     0.00000     0.28413
   -13.37721     0.03897     0.04813     0.01077     0.02686     0.02462     0.05526     0.00000     0.09723     0.00000     0.30236
   -13.36721     0.03999     0.04137     0.00652     0.02785     0.01542     0.05476     0.00000     0.08502     0.00000     0.27205
   -13.35722     0.04303     0.02801     0.00364     0.01845     0.00918     0.03446     0.00000     0.06024     0.00000     0.19893
   -13.34722     0.04424     0.02801     0.00274     0.01724     0.00693     0.03241     0.00000     0.06171     0.00000     0.19620
   -13.33723     0.04543     0.02898     0.00215     0.01668     0.00539     0.03162     0.00000     0.06488     0.00000     0.19914
   -13.32723     0.04712     0.02782     0.00185     0.01399     0.00453     0.02648     0.00000     0.06350     0.00000     0.19030
   -13.31724     0.04887     0.02654     0.00174     0.01154     0.00412     0.02176     0.00000     0.06153     0.00000     0.18191
   -13.30724     0.05057     0.02529     0.00179     0.00945     0.00414     0.01770     0.00000     0.05930     0.00000     0.17467
   -13.29725     0.05212     0.02410     0.00202     0.00772     0.00458     0.01426     0.00000     0.05689     0.00000     0.16860
   -13.28725     0.05343     0.02301     0.00243     0.00633     0.00543     0.01145     0.00000     0.05440     0.00000     0.16368
   -13.27726     0.05441     0.02204     0.00300     0.00528     0.00671     0.00922     0.00000     0.05189     0.00000     0.15991
   -13.26726     0.05495     0.02123     0.00375     0.00454     0.00841     0.00755     0.00000     0.04946     0.00000     0.15727
   -13.25727     0.05496     0.02061     0.00467     0.00412     0.01052     0.00643     0.00000     0.04719     0.00000     0.15576
   -13.24727     0.05499     0.02230     0.00648     0.00384     0.01523     0.00547     0.00000     0.04926     0.00000     0.16460
   -13.23728     0.07476     0.05318     0.02069     0.00540     0.05396     0.00768     0.00000     0.10910     0.00000     0.33463
   -13.22728     0.06954     0.04186     0.01777     0.00793     0.04405     0.01320     0.00000     0.08576     0.00000     0.28969
   -13.21729     0.05931     0.03835     0.01548     0.00876     0.03889     0.01517     0.00000     0.07710     0.00000     0.25890
   -13.20729     0.05751     0.03696     0.01507     0.01209     0.03765     0.02259     0.00000     0.07280     0.00000     0.25854
   -13.19730     0.05044     0.03676     0.01331     0.01450     0.03344     0.02920     0.00000     0.07381     0.00000     0.25418
