# energy dos
-1.720779999999999887e+01 0.000000000000000000e+00
-1.719549999999999912e+01 0.000000000000000000e+00
-1.718319999999999936e+01 0.000000000000000000e+00
-1.717079999999999984e+01 0.000000000000000000e+00
-1.715850000000000009e+01 0.000000000000000000e+00
-1.714610000000000056e+01 0.000000000000000000e+00
-1.713380000000000081e+01 0.000000000000000000e+00
-1.712150000000000105e+01 0.000000000000000000e+00
-1.710909999999999798e+01 0.000000000000000000e+00
-1.709679999999999822e+01 0.000000000000000000e+00
-1.708449999999999847e+01 0.000000000000000000e+00
-1.707209999999999894e+01 0.000000000000000000e+00
-1.705979999999999919e+01 0.000000000000000000e+00
-1.704739999999999966e+01 0.000000000000000000e+00
-1.703509999999999991e+01 0.000000000000000000e+00
-1.702280000000000015e+01 0.000000000000000000e+00
-1.701040000000000063e+01 0.000000000000000000e+00
-1.699810000000000088e+01 0.000000000000000000e+00
-1.698580000000000112e+01 0.000000000000000000e+00
-1.697339999999999804e+01 0.000000000000000000e+00
-1.696109999999999829e+01 0.000000000000000000e+00
-1.694869999999999877e+01 0.000000000000000000e+00
-1.693639999999999901e+01 0.000000000000000000e+00
-1.692409999999999926e+01 0.000000000000000000e+00
-1.691169999999999973e+01 0.000000000000000000e+00
-1.689939999999999998e+01 0.000000000000000000e+00
-1.688710000000000022e+01 0.000000000000000000e+00
-1.687470000000000070e+01 0.000000000000000000e+00
-1.686240000000000094e+01 0.000000000000000000e+00
-1.684999999999999787e+01 0.000000000000000000e+00
-1.683769999999999811e+01 0.000000000000000000e+00
-1.682539999999999836e+01 0.000000000000000000e+00
-1.681299999999999883e+01 0.000000000000000000e+00
-1.680069999999999908e+01 0.000000000000000000e+00
-1.678839999999999932e+01 0.000000000000000000e+00
-1.677599999999999980e+01 0.000000000000000000e+00
-1.676370000000000005e+01 0.000000000000000000e+00
-1.675130000000000052e+01 0.000000000000000000e+00
-1.673900000000000077e+01 0.000000000000000000e+00
-1.672670000000000101e+01 0.000000000000000000e+00
-1.671429999999999794e+01 0.000000000000000000e+00
-1.670199999999999818e+01 0.000000000000000000e+00
-1.668969999999999843e+01 0.000000000000000000e+00
-1.667729999999999890e+01 0.000000000000000000e+00
-1.666499999999999915e+01 0.000000000000000000e+00
-1.665259999999999962e+01 0.000000000000000000e+00
-1.664029999999999987e+01 0.000000000000000000e+00
-1.662800000000000011e+01 0.000000000000000000e+00
-1.661560000000000059e+01 0.000000000000000000e+00
-1.660330000000000084e+01 0.000000000000000000e+00
-1.659100000000000108e+01 0.000000000000000000e+00
-1.657859999999999800e+01 0.000000000000000000e+00
-1.656629999999999825e+01 0.000000000000000000e+00
-1.655389999999999873e+01 0.000000000000000000e+00
-1.654159999999999897e+01 0.000000000000000000e+00
-1.652929999999999922e+01 0.000000000000000000e+00
-1.651689999999999969e+01 0.000000000000000000e+00
-1.650459999999999994e+01 0.000000000000000000e+00
-1.649230000000000018e+01 0.000000000000000000e+00
-1.647990000000000066e+01 0.000000000000000000e+00
-1.646760000000000090e+01 0.000000000000000000e+00
-1.645520000000000138e+01 0.000000000000000000e+00
-1.644289999999999807e+01 0.000000000000000000e+00
-1.643059999999999832e+01 0.000000000000000000e+00
-1.641819999999999879e+01 0.000000000000000000e+00
-1.640589999999999904e+01 0.000000000000000000e+00
-1.639359999999999928e+01 0.000000000000000000e+00
-1.638119999999999976e+01 0.000000000000000000e+00
